"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)"
"ADF Foods","224.83","4.59","2.08%","2,28,680.00","34.54","2,419.60"
"GeeCee Ventures","350.25","10.20","3.00%","18,434.00","18.06","711.10"
"Manomay Tex","216.32","4.69","2.22%","90,686.00","20.58","382.00"
