"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Wipro","240.05","2.13","0.90%","71,41,517.00","18.41","2,49,427.90","-0.77%","92,911.80","10.81","243.87","246.35","240.00","237.92"
"Tech Mahindra","1,413.60","4.40","0.31%","25,02,412.00","30.94","1,38,039.90","-1.41%","53,843.70","20.60","1,447.24","1,469.56","1,412.00","1,409.20"
"Dr Reddys Laboratories","1,205.20","5.20","0.43%","15,60,897.00","17.47","1,00,153.70","0.25%","33,741.20","35.52","1,246.63","1,264.67","1,202.00","1,200.00"
"Berger Paints","544.45","7.00","1.30%","11,18,825.00","57.98","62,661.00","-0.06%","11,639.50","5.35","538.73","536.24","530.95","537.45"
"Motilal Oswal Financial Services","987.50","1.50","0.15%","5,98,664.00","29.18","59,200.40","-3.69%","8,417.20","7.52","1,007.59","950.28","987.00","986.00"
"Hexaware Technologies","699.50","4.50","0.65%","2,27,581.00","31.90","42,313.90","-0.67%","12,049.30","8.31","714.15","726.00","695.00","695.00"
"Global Health","1,280.70","31.40","2.51%","4,60,328.00","62.85","33,580.00","-6.70%","3,771.40","11.40","1,349.48","1,355.70","1,251.00","1,249.30"
"IPCA Laboratories","1,304.80","10.00","0.77%","2,26,767.00","40.13","32,849.60","1.23%","9,032.40","10.43","1,298.44","1,330.18","1,289.00","1,294.80"
"KPIT Technologies","1,159.20","3.80","0.33%","4,77,984.00","39.22","31,674.60","-1.05%","6,009.70","14.31","1,165.42","1,200.33","1,155.40","1,155.40"
"Aegis Logistics","766.60","3.60","0.47%","3,58,381.00","33.26","26,781.30","-0.45%","6,972.10","16.88","793.32","765.65","763.00","763.00"
"Emcure Pharmaceuticals","1,359.00","34.30","2.59%","5,68,873.00","32.65","25,104.20","1.58%","7,968.80","3.29","1,358.25","1,360.40","1,328.00","1,324.70"
"Manappuram Finance","274.00","7.55","2.83%","95,29,258.00","53.08","22,553.30","-0.33%","10,040.90","30.16","280.99","283.03","266.80","266.45"
"Redington","289.95","39.70","15.86%","8,80,99,906.00","10.66","19,563.90","12.12%","99,561.70","61.82","267.97","264.17","265.15","250.25"
"Chambal Fertilisers & Chemicals","484.70","3.20","0.66%","16,18,409.00","10.35","19,291.40","0.02%","16,861.30","18.34","490.07","519.10","490.00","481.50"
"Aditya Infotech","1,403.90","81.80","6.19%","4,16,827.00","44.12","15,497.90","3.11%","3,122.90","4.44","1,379.58","1,366.01","1,335.50","1,322.10"
"Syrma SGS","788.65","4.45","0.57%","18,46,599.00","70.55","15,093.00","-4.19%","3,836.10","7.02","800.48","804.68","790.95","784.20"
"LT Foods","407.70","4.10","1.02%","7,93,888.00","21.96","14,015.10","-2.27%","8,769.90","10.12","413.34","426.60","407.00","403.60"
"Black Buck","667.30","13.45","2.06%","47,81,496.00","-3,277.75","11,805.50","-2.34%","462.40","26.20","680.54","640.95","676.55","653.85"
"Relaxo Footwears","437.40","4.20","0.97%","1,13,380.00","61.67","10,784.00","-0.87%","2,816.60","3.03","437.65","457.03","432.00","433.20"
"Eureka Forbes","546.35","5.35","0.99%","1,80,215.00","61.16","10,463.10","-3.40%","2,451.50","13.72","551.35","565.12","544.40","541.00"
"Le Travenues Technology (IXIGO)","276.25","15.30","5.86%","45,96,735.00","239.95","10,187.60","1.51%","932.30","59.64","307.47","295.11","262.10","260.95"
"Shilpa Medicare","368.70","11.20","3.13%","6,40,737.00","63.06","6,992.00","2.16%","1,309.60","10.92","361.88","389.21","358.55","357.50"
"Kaveri Seed Company","1,047.90","18.00","1.75%","2,61,906.00","16.66","5,297.70","1.22%","1,251.30","20.36","1,053.66","1,105.06","1,029.60","1,029.90"
"Websol Energy System","1,337.60","125.70","10.37%","33,44,478.00","25.84","5,115.00","8.33%","577.40","5.47","1,218.33","1,252.24","1,215.50","1,211.90"
"R Systems International","417.95","1.95","0.47%","1,20,979.00","25.51","4,924.90","-3.22%","1,750.00","3.60","417.80","431.78","415.45","416.00"
"Bansal Wire Industries","315.20","7.20","2.34%","1,49,312.00","31.68","4,821.90","0.45%","3,516.60","2.35","317.59","340.38","311.75","308.00"
"SIS","339.40","8.40","2.54%","2,77,513.00","115.24","4,665.90","0.71%","13,257.10","13.18","336.01","345.33","335.00","331.00"
"Awfis Space Solutions","595.80","1.30","0.22%","99,048.00","56.64","4,251.20","-0.71%","1,260.70","25.04","597.61","586.70","594.50","594.50"
"Sanathan Textiles","481.45","3.95","0.83%","2,22,743.00","26.78","4,030.30","-0.31%","3,016.10","1.67","491.12","502.75","485.00","477.50"
"Madhya Bharat Agro","418.85","5.50","1.33%","1,46,771.00","39.90","3,622.10","2.70%","1,070.40","0.00","425.96","420.17","413.35","413.35"
"Shanthi Gears","474.75","4.35","0.92%","59,778.00","38.95","3,608.70","-4.18%","619.30","3.22","508.16","534.49","472.85","470.40"
"Unichem Laboratories","470.05","2.45","0.52%","9,320.00","26.50","3,292.20","-0.83%","2,146.30","1.00","471.78","486.87","467.00","467.60"
"Krishana Phoschem","509.00","3.35","0.66%","84,975.00","26.15","3,061.80","-0.13%","1,368.20","0.00","538.74","541.92","504.95","505.65"
"Sasken Technologies","1,377.60","22.60","1.67%","38,885.00","47.88","2,894.10","-0.34%","606.70","18.53","1,379.75","1,420.69","1,355.00","1,355.00"
"Shivalik Bimetal Controls","471.40","5.80","1.25%","70,115.00","32.67","2,682.10","-1.84%","521.20","3.03","485.33","507.04","465.80","465.60"
"SMS Pharmaceuticals","284.65","3.80","1.35%","1,53,633.00","36.03","2,489.80","-1.15%","789.00","0.28","284.61","270.16","281.85","280.85"
"NDR Auto Components","983.80","16.60","1.72%","3,17,454.00","41.59","2,300.50","1.74%","717.10","0.18","976.48","1,030.22","956.00","967.20"
"Veranda Learning Solutions","231.72","2.41","1.05%","2,30,733.00","-23.67","2,146.40","-2.00%","518.30","2.92","233.87","227.61","230.00","229.31"
"Cantabil Retail","252.85","5.15","2.08%","1,27,579.00","26.33","2,071.70","-2.86%","729.50","4.14","250.03","254.80","247.60","247.70"
"Sri Adhikari Bros. Tele Network","774.75","5.00","0.65%","1,879.00","-80.15","1,953.10","-2.32%","6.40","0.00","828.91","931.23","770.00","769.75"
"Somany Ceramics","446.95","2.60","0.59%","12,179.00","34.39","1,822.40","-2.97%","2,667.80","0.98","452.02","463.13","441.00","444.35"
"Igarashi Motors","499.05","4.90","0.99%","3,40,697.00","84.00","1,555.30","-0.85%","840.80","0.12","513.17","505.50","496.80","494.15"
"Vinyas Innovative Technologies","1,182.20","31.05","2.70%","13,900.00","74.60","1,448.70","1.04%","400.20","0.00","1,181.49","1,214.69","1,124.00","1,151.15"
"Jaro Inst of Tech Mgmt & Research","638.35","16.85","2.71%","1,03,297.00","36.24","1,377.00","4.98%","202.60","2.89","657.42","-","618.40","621.50"
"Alldigi Tech","884.30","1.85","0.21%","6,480.00","18.68","1,344.70","0.68%","557.10","1.88","888.22","918.42","885.55","882.45"
"Agarwal Industrial Corporation","845.55","4.35","0.52%","11,874.00","14.04","1,258.20","-2.03%","2,409.50","5.91","878.77","887.32","837.05","841.20"
"Oriental Aromatics","347.45","7.90","2.33%","16,067.00","47.98","1,142.70","-2.59%","931.50","0.03","346.29","339.99","335.00","339.55"
"Le Merite Exports","472.30","5.50","1.18%","24,800.00","165.53","1,134.30","0.10%","536.10","0.00","470.53","420.36","468.00","466.80"
"Denta Water and Infra Solutions","408.20","14.40","3.66%","7,84,756.00","18.13","1,051.40","0.89%","208.00","0.25","418.00","424.89","392.00","393.80"
"Synergy Green Industries","540.15","7.15","1.34%","29,426.00","47.93","828.40","1.30%","363.70","0.42","534.21","545.34","521.50","533.00"
"MVK Agro Food Product","550.90","25.45","4.84%","1,39,800.00","87.14","813.90","4.93%","155.80","0.00","548.02","471.99","525.45","525.45"
"STEL Holdings","410.20","5.50","1.36%","10,928.00","43.72","746.90","1.37%","21.90","0.01","407.88","445.55","395.00","404.70"
"Ksolves","317.70","3.20","1.02%","1,01,355.00","24.04","745.70","1.08%","137.90","0.10","320.08","320.60","315.50","314.50"
"Mangalam Worldwide","223.31","2.13","0.96%","43,551.00","17.64","656.90","-2.15%","1,066.00","0.00","233.23","223.84","226.00","221.18"
"Parin Enterprises","541.30","1.30","0.24%","18,500.00","86.96","600.40","-1.44%","167.90","0.00","542.90","508.46","523.00","540.00"
"Polysil Irrigation Systems","261.90","10.45","4.16%","27,000.00","-306.65","565.90","4.18%","14.10","0.00","269.19","229.24","249.00","251.45"
"Annapurna Swadisht","248.55","4.10","1.68%","72,250.00","24.79","533.40","0.95%","408.70","0.00","252.60","254.24","246.90","244.45"
"Essen Specialty Films","212.25","3.30","1.58%","4,07,160.00","38.84","519.00","-1.96%","120.50","0.00","232.33","287.79","204.40","208.95"
