"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Creative Graphics Solutions","208.70","1.85","0.89%","32,000.00","24.19","502.40","-4.18%","256.50","0.00","215.06","224.59","207.60","206.85"
"SJ Logistics","344.60","22.10","6.85%","85,750.00","8.80","493.20","-2.17%","502.90","0.00","355.97","383.46","325.00","322.50"
"Pelatro","362.05","14.55","4.19%","18,000.00","30.97","368.30","2.42%","89.30","0.00","366.98","384.22","357.50","347.50"
"Parth Electricals & Engineering","265.45","6.65","2.57%","12,800.00","-","353.70","-0.21%","176.20","0.00","260.94","254.69","257.90","258.80"
"Indo National","443.65","9.90","2.28%","13,365.00","-33.10","325.30","-0.16%","657.40","0.00","446.50","460.96","432.00","433.75"
"Shreyans Industries","219.82","1.76","0.81%","4,118.00","5.64","301.50","-1.16%","634.60","0.24","223.56","228.07","221.98","218.06"
"Revathi Equipment","898.60","6.85","0.77%","942.00","21.75","273.50","-2.44%","188.80","0.00","980.69","978.57","901.00","891.75"
"Taurian MPS","310.00","4.00","1.31%","36,800.00","28.62","271.80","0.02%","73.70","0.00","329.27","-","308.00","306.00"
"Nureca","271.20","12.90","4.99%","50,321.00","62.68","258.30","2.06%","122.10","0.08","269.23","254.16","266.00","258.30"
"Shubhshree Biofuels Energy","420.00","6.35","1.54%","5,400.00","26.81","216.80","-0.41%","163.30","0.00","420.82","430.34","420.00","413.65"
"Macobs Technologies","206.90","4.00","1.97%","11,200.00","76.28","198.70","0.98%","23.90","0.00","205.54","201.53","202.50","202.90"
"Veekayem Fashion & Apparels","262.00","2.80","1.08%","2,000.00","19.92","152.30","-8.74%","321.60","0.00","282.15","282.46","260.00","259.20"
"Master Components","341.55","1.55","0.46%","2,000.00","20.95","136.00","-3.94%","42.80","0.00","355.95","358.97","340.00","340.00"
"Semac Construction","403.25","5.00","1.26%","679.00","-51.23","124.10","-0.96%","177.00","0.04","445.25","490.28","381.15","398.25"
"Ideal Technoplast Industries","210.00","10.00","5.00%","14,000.00","34.72","100.00","6.63%","28.80","0.00","200.67","203.91","200.00","200.00"
"Homesfy Realty","215.80","5.85","2.79%","1,800.00","49.28","67.70","-5.35%","60.10","0.00","225.84","247.57","210.00","209.95"
