"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Close Price (15 Min)","Open Price","Previous Stochastic RSI (14, 15 Min)","RSI (14, 15 Min)","RSI (14)"
"Astral","1,566.10","98.90","6.74%","58,37,826.00","82.35","39,414.10","1,485.80","16.61","1,572.00","1,482.50","25.34","75.87","74.13"
"Dr Reddys Laboratories","1,205.20","5.20","0.43%","15,60,897.00","17.47","1,00,153.70","1,200.20","35.52","1,203.60","1,202.00","62.98","52.23","36.98"
"Tech Mahindra","1,413.60","4.40","0.31%","25,02,412.00","30.94","1,38,039.90","1,420.16","20.60","1,415.90","1,412.00","31.31","53.61","38.34"
