"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)"
"Bansal Wire Industries","315.20","7.20","2.34%","1,49,312.00","31.68","4,821.90"
"Annapurna Swadisht","248.55","4.10","1.68%","72,250.00","24.79","533.40"
"Sacheerome","223.10","9.00","4.20%","39,600.00","-","479.00"
