"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","High Price","High Price (Year)","Price %Change (Week)","Revenue (Yearly)","FII Holding","EMA (50, 15 Min)","Previous EMA (10, 15 Min)","Supertrend (15 Min)","Open Price","Previous Volume","Close Price","Supertrend"
"Butterfly Gandhimathi Appliances","775.60","25.10","3.34%","2,19,026.00","36.80","1,341.90","823.85","882.15","1.11%","871.50","0.04","770.54","778.35","759.57","800.00","24,106.00","775.60","696.79"
"WomanCart","343.00","18.25","5.62%","92,800.00","28.49","204.80","358.00","437.15","20.35%","60.20","0.00","328.97","336.15","365.35","344.95","69,600.00","324.75","277.58"
"Black Buck","667.30","13.45","2.06%","47,81,496.00","-3,277.75","11,805.50","720.00","748.00","-2.34%","462.40","26.20","672.42","668.12","732.01","676.55","17,80,240.00","667.30","620.19"
"Bella Casa Fashion & Retail","463.00","12.95","2.88%","25,086.00","35.43","602.50","480.00","497.35","4.94%","349.50","0.00","453.93","462.16","451.24","480.00","10,420.00","463.00","397.74"
"KRN Heat Exchanger and Refrigeration","804.00","11.70","1.48%","12,91,287.00","92.33","4,924.70","840.05","1,012.00","0.92%","441.70","5.46","801.24","806.76","854.13","840.00","1,85,590.00","804.00","866.14"
"Krishival Foods","496.70","6.50","1.33%","52,169.00","74.76","1,092.90","498.70","508.00","-0.09%","206.30","0.89","495.51","495.02","491.51","496.35","50,097.00","490.20","466.98"
"Divine Power Energy","305.70","5.95","1.98%","85,500.00","262.94","748.30","305.70","299.75","8.21%","342.20","0.00","300.82","304.85","303.11","305.70","52,500.00","299.75","289.25"
"CSB Bank","424.40","5.75","1.37%","14,19,118.00","12.12","7,263.00","434.00","445.60","3.25%","4,569.20","14.23","419.65","421.69","414.81","426.80","4,26,983.00","424.40","381.98"
"Taurian MPS","310.00","4.00","1.31%","36,800.00","28.62","271.80","320.00","425.00","0.02%","73.70","0.00","312.76","314.80","322.24","308.00","24,000.00","306.00","354.40"
