"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Redington","289.95","39.70","15.86%","8,80,99,906.00","10.66","19,563.90","261.09","61.82"
"Apcotex Industries","392.60","37.70","10.62%","3,53,891.00","31.49","1,840.00","360.53","0.59"
"International Gemmological Institute","367.70","32.55","9.71%","86,20,170.00","29.53","14,483.80","344.66","10.55"
"EPack Prefab Technologies","326.35","24.90","8.26%","4,10,98,507.00","39.23","3,028.10","289.35","3.00"
"Flair Writing Industries","330.00","15.80","5.03%","18,42,857.00","27.16","3,478.00","314.30","0.44"
"Le Travenues Technology (IXIGO)","276.25","15.30","5.86%","45,96,735.00","239.95","10,187.60","267.30","59.64"
"Shilpa Medicare","368.70","11.20","3.13%","6,40,737.00","63.06","6,992.00","361.43","10.92"
"Garuda Construction & Engineering","235.91","11.03","4.90%","1,03,73,027.00","24.32","2,092.30","218.01","3.09"
"Shipping Corporation of India","260.45","10.25","4.10%","1,82,06,422.00","12.85","11,654.30","258.17","6.49"
"SIS","339.40","8.40","2.54%","2,77,513.00","115.24","4,665.90","334.76","13.18"
"Manappuram Finance","274.00","7.55","2.83%","95,29,258.00","53.08","22,553.30","270.54","30.16"
"Bansal Wire Industries","315.20","7.20","2.34%","1,49,312.00","31.68","4,821.90","312.94","2.35"
"Bajaj Consumer Care","298.30","6.70","2.30%","34,22,480.00","33.01","3,996.50","284.20","10.12"
"Simplex Infrastructures","303.15","6.50","2.19%","4,09,651.00","86.33","2,346.40","285.90","0.44"
"Indus Towers","398.30","5.75","1.46%","1,42,37,144.00","11.30","1,03,561.10","381.09","26.20"
"Gopal Snacks","355.45","5.55","1.59%","2,12,910.00","-1,588.86","4,360.50","352.30","0.94"
"Aarti Industries","390.50","5.40","1.40%","9,59,594.00","58.94","13,963.50","385.40","6.40"
"Cantabil Retail","252.85","5.15","2.08%","1,27,579.00","26.33","2,071.70","256.04","4.14"
"Parag Milk Foods","320.25","5.00","1.59%","25,36,149.00","33.15","3,763.30","315.65","9.91"
"Ivalue Infosolutions","286.40","4.95","1.76%","3,99,742.00","17.73","1,506.90","284.67","4.35"
"Biocon","385.20","4.70","1.24%","40,37,698.00","77.44","50,871.50","378.31","6.61"
"ADF Foods","224.83","4.59","2.08%","2,28,680.00","34.54","2,419.60","221.73","11.30"
"Cupid","245.38","4.27","1.77%","29,67,536.00","136.36","6,473.00","240.18","2.58"
"SMS Pharmaceuticals","284.65","3.80","1.35%","1,53,633.00","36.03","2,489.80","284.17","0.28"
"PDS","380.50","2.95","0.78%","2,40,580.00","28.78","5,336.70","375.06","3.67"
"Euro Pratik Sales","324.45","2.70","0.84%","6,44,859.00","46.83","3,288.30","320.83","1.66"
"Windsor Machines","297.65","2.60","0.88%","1,09,623.00","-265.99","2,492.50","290.86","1.06"
"Birlasoft","372.95","2.55","0.69%","8,87,372.00","21.85","10,317.20","372.81","11.26"
"Veranda Learning Solutions","231.72","2.41","1.05%","2,30,733.00","-23.67","2,146.40","231.55","2.92"
"DAM Capital Advisors","254.68","2.27","0.90%","8,63,764.00","21.79","1,800.20","248.87","1.76"
"KRBL","377.40","2.20","0.59%","5,41,861.00","15.89","8,587.90","376.63","6.54"
"Wipro","240.05","2.13","0.90%","71,41,517.00","18.41","2,49,427.90","240.21","10.81"
"Jain Resource Recycling","379.05","1.80","0.48%","21,49,271.00","48.87","13,018.40","382.52","6.42"
"RBL Bank","325.60","1.75","0.54%","1,07,75,022.00","36.73","19,852.70","325.90","15.48"
"Gufic BioSciences","328.15","1.15","0.35%","54,398.00","52.96","3,279.10","326.52","0.34"
"Genus Power Infrastructures","354.45","1.00","0.28%","17,23,516.00","26.81","10,748.80","345.97","18.75"
