"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","Supertrend (15 Min)","SMA (5)"
"Indus Towers","398.30","5.75","1.46%","1,42,37,144.00","11.30","1,03,561.10","8.16%","30,886.50","26.20","393.60","381.09"
"Biocon","385.20","4.70","1.24%","40,37,698.00","77.44","50,871.50","2.28%","16,469.90","6.61","378.75","378.31"
