"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Resistance 2 (Standard)"
"Wipro","240.05","2.13","0.90%","71,41,517.00","18.41","2,49,427.90","242.08"
"Indus Towers","398.30","5.75","1.46%","1,42,37,144.00","11.30","1,03,561.10","401.15"
"Biocon","385.20","4.70","1.24%","40,37,698.00","77.44","50,871.50","389.30"
"Manappuram Finance","274.00","7.55","2.83%","95,29,258.00","53.08","22,553.30","274.58"
"Aarti Industries","390.50","5.40","1.40%","9,59,594.00","58.94","13,963.50","394.30"
"Shipping Corporation of India","260.45","10.25","4.10%","1,82,06,422.00","12.85","11,654.30","264.63"
"Le Travenues Technology (IXIGO)","276.25","15.30","5.86%","45,96,735.00","239.95","10,187.60","276.72"
"Shilpa Medicare","368.70","11.20","3.13%","6,40,737.00","63.06","6,992.00","377.17"
"Gopal Snacks","355.45","5.55","1.59%","2,12,910.00","-1,588.86","4,360.50","357.17"
"Flair Writing Industries","330.00","15.80","5.03%","18,42,857.00","27.16","3,478.00","330.40"
"SMS Pharmaceuticals","284.65","3.80","1.35%","1,53,633.00","36.03","2,489.80","287.08"
"ADF Foods","224.83","4.59","2.08%","2,28,680.00","34.54","2,419.60","226.87"
"Ivalue Infosolutions","286.40","4.95","1.76%","3,99,742.00","17.73","1,506.90","288.82"
"GeeCee Ventures","350.25","10.20","3.00%","18,434.00","18.06","711.10","354.38"
"Polysil Irrigation Systems","261.90","10.45","4.16%","27,000.00","-306.65","565.90","267.15"
"Shri Ahimsa Naturals","254.10","12.10","5.00%","63,000.00","25.77","564.60","258.63"
"Sacheerome","223.10","9.00","4.20%","39,600.00","-","479.00","225.70"
"HP Telecom","315.50","14.05","4.66%","1,800.00","28.55","359.20","316.42"
"Trejhara Solutions","242.28","11.53","5.00%","35,850.00","111.38","335.00","243.18"
"Akiko Global Services","269.90","3.25","1.22%","12,000.00","36.33","287.20","272.68"
"Macobs Technologies","206.90","4.00","1.97%","11,200.00","76.28","198.70","210.27"
"Homesfy Realty","215.80","5.85","2.79%","1,800.00","49.28","67.70","217.22"
