"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)"
"Tata Power","393.20","1.45","0.37%","46,76,601.00","25.92","1,25,177.40"
"Birlasoft","378.25","5.30","1.42%","35,53,935.00","22.84","10,388.30"
"Bajaj Consumer Care","301.50","3.20","1.07%","9,74,698.00","34.09","4,088.30"
"Veranda Learning Solutions","232.80","1.08","0.47%","2,48,738.00","-24.00","2,169.00"
"Best Agrolife","315.90","1.20","0.38%","24,475.00","10.91","744.10"
