"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Supertrend (15 Min)","High Price (15 Min)","EMA (20, 15 Min)","Open Price","Stochastic RSI (14)","Previous Volume"
"Vedanta","515.05","10.10","2.00%","92,29,050.00","11.33","1,97,455.00","506.94","11.08","509.06","517.25","512.18","501.00","28.46","72,36,023.00"
"Infosys","1,476.80","10.10","0.69%","87,65,759.00","21.80","6,09,324.70","1,475.84","30.08","1,455.02","1,480.90","1,471.98","1,470.00","29.84","79,44,752.00"
"IIFL Finance","526.30","5.55","1.07%","14,84,837.00","21.81","22,131.40","532.27","26.76","520.85","535.05","526.28","520.00","36.99","13,51,016.00"
"Info Edge","1,345.40","18.60","1.40%","10,77,290.00","62.59","86,032.40","1,349.76","30.33","1,321.08","1,358.30","1,334.47","1,321.00","23.95","8,55,886.00"
"ICICI Lombard General Insurance","2,020.20","19.20","0.96%","8,82,415.00","35.91","99,537.90","2,012.50","24.04","1,994.07","2,027.60","2,010.72","1,993.10","30.03","3,69,731.00"
"JSW Steel","1,171.70","2.90","0.25%","8,45,047.00","47.17","2,85,824.70","1,184.58","25.55","1,157.74","1,182.90","1,170.88","1,160.10","24.42","13,04,994.00"
