"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","Supertrend (15 Min)","SMA (5)"
"L&T Finance","303.60","28.40","10.32%","7,05,87,337.00","28.16","68,796.40","12.24%","15,941.00","6.41","292.03","281.80"
"Aditya Birla Capital","338.10","11.05","3.38%","1,34,94,106.00","26.41","85,439.70","4.29%","40,723.80","6.78","325.87","331.01"
"Sona BLW Precision Forgings","491.10","8.20","1.70%","16,44,050.00","50.30","30,022.90","3.88%","3,681.50","23.46","484.92","482.36"
"Bank of Baroda","289.05","2.70","0.94%","69,51,797.00","7.71","1,48,082.00","3.83%","1,52,884.10","8.71","286.92","286.62"
"Indus Towers","400.80","2.50","0.63%","64,09,878.00","11.55","1,05,078.00","10.23%","30,886.50","26.20","397.22","387.60"
