"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)"
"Aditya Birla Capital","338.10","11.05","3.38%","1,34,94,106.00","26.41","85,439.70"
"L&T Finance","303.60","28.40","10.32%","7,05,87,337.00","28.16","68,796.40"
"GIC of India","379.15","5.20","1.39%","5,06,757.00","7.78","65,605.80"
"Go Digit General Insurance","360.35","4.85","1.36%","2,15,006.00","65.48","32,823.70"
"RBL Bank","328.25","2.65","0.81%","79,53,347.00","37.22","19,960.00"
"Campus Activewear","276.80","5.50","2.03%","2,26,283.00","65.35","8,287.50"
"Arvind","328.30","18.35","5.92%","33,34,495.00","20.37","8,124.20"
"Surya Roshni","301.05","6.05","2.05%","3,05,606.00","22.78","6,420.30"
"Canara Robeco Asset Management Company","318.75","7.85","2.52%","10,82,131.00","31.89","6,199.90"
"Seshaasai Technologies","372.55","7.90","2.17%","99,598.00","27.15","5,900.20"
"Zaggle Prepaid Ocean Services","364.00","10.90","3.09%","6,82,461.00","50.19","4,740.50"
"SG Mart","350.35","2.95","0.85%","4,89,464.00","36.77","4,377.20"
"Shreeji Shipping Global","272.05","3.55","1.32%","8,20,694.00","31.05","4,374.40"
"KCP","200.14","1.81","0.91%","67,973.00","8.88","2,556.90"
"Garuda Construction & Engineering","242.37","6.46","2.74%","72,02,377.00","26.20","2,194.90"
"SG Finserv","389.85","14.90","3.97%","1,29,932.00","21.70","2,095.80"
"BLS E-Services","204.65","7.53","3.82%","23,14,615.00","29.24","1,791.00"
"Talbros Automotive Components","291.00","3.80","1.32%","66,504.00","18.64","1,772.80"
"Diffusion Engineers","375.05","7.45","2.03%","69,266.00","34.20","1,375.80"
"Suraj Estate Developers","290.35","4.80","1.68%","1,84,519.00","14.93","1,364.20"
"Laxmi Goldrona House","259.75","9.25","3.69%","61,100.00","111.96","1,254.80"
"Signpost India","242.39","15.59","6.87%","1,18,669.00","33.89","1,212.20"
"Indef Manufacturing","371.60","8.45","2.33%","31,732.00","34.78","1,162.10"
"Ritco Logistics","256.80","10.80","4.39%","58,279.00","17.69","704.10"
"Mangalam Worldwide","229.65","6.34","2.84%","5,946.00","18.31","663.20"
