"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"GIC of India","379.15","5.20","1.39%","5,06,757.00","7.78","65,605.80","1.32%","49,924.60","2.12","382.33","373.75","373.90","373.95"
"Torrent Power","1,281.20","8.00","0.63%","2,13,066.00","23.03","64,157.00","-2.68%","29,652.50","8.81","1,302.17","1,274.39","1,267.00","1,273.20"
"Patanjali Foods","578.90","5.90","1.03%","9,52,756.00","44.16","62,332.60","-3.90%","34,289.40","12.24","589.21","594.05","573.30","573.00"
"Jindal Stainless","731.75","1.95","0.27%","4,78,710.00","23.53","60,118.70","-2.91%","39,757.40","21.42","778.35","771.51","725.00","729.80"
"Motilal Oswal Financial Services","996.45","8.95","0.91%","8,42,897.00","29.50","59,290.50","1.89%","8,417.20","7.52","1,011.22","951.69","985.85","987.50"
"Bharat Dynamics","1,447.70","9.60","0.67%","9,84,121.00","94.56","52,715.40","-5.37%","3,695.50","2.43","1,513.31","1,517.73","1,425.10","1,438.10"
"HUDCO","230.69","3.17","1.39%","30,27,164.00","16.59","45,547.20","-2.66%","10,348.40","1.94","230.28","225.15","226.00","227.52"
"Premier Energies","1,029.80","25.60","2.55%","20,44,854.00","39.10","45,266.80","-5.80%","6,652.10","4.23","1,060.20","1,042.04","998.00","1,004.20"
"Voltas","1,321.50","29.10","2.25%","6,66,465.00","68.30","42,763.50","-4.49%","15,737.30","20.26","1,401.16","1,394.35","1,292.40","1,292.40"
"NALCO","234.73","4.14","1.80%","1,22,49,764.00","7.04","42,350.90","0.25%","17,144.60","16.22","231.09","217.43","228.00","230.59"
"Petronet LNG","278.50","3.50","1.27%","10,96,702.00","11.26","41,250.00","-0.98%","51,755.00","28.03","279.91","277.71","274.95","275.00"
"Container Corporation of India","521.70","2.35","0.45%","15,13,467.00","30.59","39,554.60","-4.32%","9,333.90","12.37","536.73","538.95","519.55","519.35"
"Tata Investment Corporation","781.25","15.00","1.96%","16,80,656.00","112.61","38,768.60","-2.22%","306.20","2.69","857.20","810.24","766.00","766.25"
"Aster DM Healthcare","692.90","5.65","0.82%","5,52,899.00","98.49","35,607.90","2.19%","4,286.70","18.72","697.98","658.86","689.00","687.25"
"Go Digit General Insurance","360.35","4.85","1.36%","2,15,006.00","65.48","32,823.70","0.47%","9,695.50","8.47","358.30","355.19","353.50","355.50"
"Hindustan Copper","332.80","10.50","3.26%","64,09,393.00","66.21","31,167.20","-2.19%","2,148.20","5.06","341.55","305.97","319.50","322.30"
"Star Health Insurance","488.65","1.95","0.40%","2,49,847.00","53.82","28,615.50","-1.16%","16,113.00","13.50","487.28","464.60","485.80","486.70"
"Aegis Vopak Terminals","260.15","1.90","0.74%","5,87,604.00","159.85","28,613.90","-6.74%","647.30","6.07","277.40","261.30","259.65","258.25"
"Ather Energy","654.65","20.80","3.28%","51,82,271.00","-30.85","24,021.20","-5.39%","2,305.20","23.60","680.70","599.91","632.60","633.85"
"Asahi India Glass","934.80","13.80","1.50%","1,34,790.00","76.98","23,478.80","1.29%","4,626.50","4.87","925.13","892.91","914.95","921.00"
"Shyam Metalics & Energy","860.55","21.25","2.53%","10,52,163.00","24.80","23,427.50","-1.97%","15,368.10","3.65","906.75","915.98","843.75","839.30"
"Sun TV Network","554.25","5.35","0.97%","1,42,049.00","13.06","21,631.30","-1.34%","4,712.60","6.71","566.00","559.99","548.90","548.90"
"Credit Access Grameen","1,346.90","9.40","0.70%","5,50,597.00","161.25","21,379.80","-5.39%","5,756.10","12.29","1,383.55","1,370.19","1,335.00","1,337.50"
"Sundram Fasteners","940.15","3.40","0.36%","2,47,954.00","35.55","19,683.80","-0.97%","5,983.70","10.55","972.23","999.23","942.80","936.75"
"DCM Shriram Consolidated","1,243.90","13.90","1.13%","55,239.00","27.17","19,180.90","-2.91%","12,219.50","3.97","1,241.71","1,230.19","1,225.00","1,230.00"
"Sarda Energy & Minerals","534.85","7.45","1.41%","5,90,476.00","20.04","18,584.60","1.01%","4,815.30","4.13","542.96","565.49","532.00","527.40"
"KFin Technologies","1,111.00","48.90","4.60%","11,32,039.00","55.41","18,296.00","1.17%","1,128.50","25.54","1,116.00","1,094.04","1,062.10","1,062.10"
"Gujarat Mineral Development Corporation","600.30","33.55","5.92%","50,58,758.00","28.68","18,022.60","1.01%","3,205.60","3.32","590.23","559.69","561.60","566.75"
"Alembic Pharmaceuticals","921.95","6.60","0.72%","1,48,708.00","28.68","17,992.40","2.74%","6,714.60","4.05","923.97","932.18","907.10","915.35"
"Gabriel","1,243.40","20.40","1.67%","1,16,998.00","71.40","17,567.70","-2.39%","4,089.30","6.49","1,262.62","1,253.40","1,228.00","1,223.00"
"Carborundum Universal","916.20","28.85","3.25%","74,900.00","86.16","16,898.30","1.74%","4,935.20","10.88","910.68","933.27","887.00","887.35"
"Choice International","802.30","3.45","0.43%","2,57,813.00","87.48","16,428.80","-4.10%","921.70","12.97","814.65","805.73","801.15","798.85"
"Great Eastern Shipping Company","1,085.20","35.70","3.40%","4,32,319.00","7.60","15,493.10","-1.31%","6,156.90","24.88","1,051.84","1,021.48","1,044.20","1,049.50"
"UTI AMC","1,209.00","7.00","0.58%","1,11,779.00","23.40","15,408.70","-3.09%","1,859.90","7.61","1,303.92","1,323.47","1,200.00","1,202.00"
"Syrma SGS","799.50","10.85","1.38%","12,31,411.00","71.86","15,178.70","-1.76%","3,836.10","7.02","798.10","805.69","781.00","788.65"
"Techno Electric & Engineering","1,283.30","9.90","0.78%","1,71,585.00","32.40","14,809.60","-2.71%","2,428.60","9.22","1,329.70","1,393.08","1,275.90","1,273.40"
"Natco Pharma","802.50","2.00","0.25%","3,84,061.00","8.49","14,337.70","-2.12%","4,784.00","14.09","824.96","837.17","802.95","800.50"
"Usha Martin","472.45","8.45","1.82%","4,20,833.00","35.57","14,140.00","1.63%","3,513.50","14.15","464.94","434.86","461.45","464.00"
"Zydus Wellness","450.35","6.55","1.48%","1,76,149.00","56.53","14,120.00","-5.51%","2,722.50","3.43","471.05","473.65","445.00","443.80"
"Leela Palaces Hotels & Resorts","436.60","14.70","3.48%","4,00,791.00","56.97","14,089.70","0.67%","1,406.60","8.50","438.05","425.97","415.05","421.90"
"Swan Corp","468.90","33.25","7.63%","1,58,91,193.00","23.21","13,655.70","-0.15%","6,883.70","8.89","446.85","455.86","432.25","435.65"
"Bata","1,061.90","11.20","1.07%","74,824.00","80.07","13,504.40","-0.81%","3,554.40","6.89","1,121.76","1,169.34","1,054.90","1,050.70"
"Granules","554.65","2.40","0.43%","3,07,900.00","28.08","13,401.40","-1.94%","4,494.50","14.09","566.49","541.52","553.00","552.25"
"Sundaram Finance Holdings","589.95","2.15","0.37%","1,08,160.00","27.63","13,055.30","-9.83%","160.00","0.00","659.16","604.40","587.80","587.80"
"Gallantt Ispat","552.85","29.95","5.73%","4,39,001.00","27.13","12,616.60","5.51%","4,308.30","0.19","583.17","626.62","517.10","522.90"
"Anupam Rasayan","1,082.90","14.40","1.35%","65,836.00","55.37","12,164.70","0.81%","1,448.50","7.63","1,092.65","1,095.36","1,068.50","1,068.50"
"Vikram Solar","321.30","6.50","2.06%","9,87,387.00","31.35","11,386.90","-1.52%","3,459.50","2.09","330.64","335.29","313.50","314.80"
"PVR Inox","1,153.20","10.30","0.90%","1,97,942.00","-292.09","11,223.30","-4.43%","5,953.60","21.80","1,151.00","1,130.94","1,140.00","1,142.90"
"GR Infraprojects","1,143.60","8.60","0.76%","13,159.00","10.02","10,982.30","-1.97%","7,590.10","2.86","1,199.47","1,244.11","1,135.00","1,135.00"
"Le Travenues Technology (IXIGO)","280.40","4.15","1.50%","50,75,495.00","257.39","10,784.90","3.99%","932.30","59.64","306.74","294.94","276.00","276.25"
"IIFL Capital Services","337.50","5.55","1.67%","5,41,280.00","14.80","10,299.10","-1.14%","2,567.40","16.93","339.27","312.56","328.75","331.95"
"Sonata Software","367.80","1.95","0.53%","3,01,377.00","24.09","10,259.30","-0.55%","10,228.40","8.85","369.37","367.93","363.00","365.85"
"Sandur Manganese & Iron Ores","204.74","5.27","2.64%","27,68,382.00","20.20","9,952.50","-5.60%","3,215.60","1.00","215.08","183.09","197.99","199.47"
"Astra Microwave Products","1,042.50","6.10","0.59%","1,75,187.00","60.85","9,840.10","0.02%","1,068.70","6.47","1,073.75","1,066.59","1,029.50","1,036.40"
"Shakti Pumps","798.05","1.55","0.19%","3,45,353.00","23.87","9,828.60","-2.61%","2,533.30","5.60","809.91","823.55","800.00","796.50"
"Blue Jet Healthcare","598.15","36.50","6.50%","19,34,229.00","29.52","9,742.70","-8.87%","508.00","1.82","646.43","669.51","567.00","561.65"
"Nazara Technologies","265.05","3.15","1.20%","7,02,898.00","115.22","9,702.50","-0.80%","1,715.40","12.63","266.93","272.82","262.00","261.90"
"India Shelter Finance","873.25","27.30","3.23%","2,63,174.00","21.25","9,155.40","-1.20%","1,175.90","8.01","880.46","887.35","846.05","845.95"
"Black Box","543.05","5.50","1.02%","6,66,031.00","42.80","9,137.70","2.34%","5,971.90","4.22","551.80","512.76","537.55","537.55"
"Apollo Micro Systems","268.45","2.10","0.79%","63,87,965.00","113.00","8,883.60","-3.02%","565.00","8.94","290.48","303.96","265.80","266.35"
"Nesco","1,355.70","110.90","8.91%","7,81,207.00","23.09","8,770.90","-0.97%","864.60","4.90","1,352.08","1,405.43","1,279.20","1,244.80"
"PN Gadgil Jewellers","652.25","6.30","0.98%","4,19,693.00","35.15","8,766.10","0.70%","7,728.60","0.91","659.38","628.05","632.40","645.95"
"VA Tech Wabag","1,385.80","27.10","1.99%","1,32,615.00","28.30","8,627.50","-2.00%","3,338.60","18.40","1,409.78","1,460.09","1,364.20","1,358.70"
"Religare Enterprises","258.30","2.85","1.12%","10,90,920.00","51.89","8,446.60","-2.14%","7,396.90","7.80","260.52","254.91","253.25","255.45"
"Campus Activewear","276.80","5.50","2.03%","2,26,283.00","65.35","8,287.50","-1.09%","1,196.60","5.99","280.73","275.27","271.05","271.30"
"Arvind","328.30","18.35","5.92%","33,34,495.00","20.37","8,124.20","2.98%","8,394.00","16.82","310.08","307.05","308.70","309.95"
"Tanla Platforms","611.85","5.45","0.90%","3,30,504.00","16.92","8,041.90","0.21%","4,067.90","9.06","649.06","669.98","606.00","606.40"
"Lumax Auto Technologies","1,200.20","45.10","3.90%","2,36,822.00","33.82","7,872.90","6.43%","3,687.70","7.34","1,165.95","1,169.21","1,164.20","1,155.10"
"Manorama Industries","1,311.10","6.60","0.51%","1,58,935.00","45.86","7,789.00","-5.75%","791.80","2.52","1,435.74","1,409.07","1,300.00","1,304.50"
"Dilip Buildcon","479.85","3.40","0.71%","3,44,132.00","8.03","7,739.70","-3.09%","11,453.20","2.91","493.85","503.17","472.55","476.45"
"Oswal Pumps","705.50","30.30","4.49%","3,26,802.00","26.40","7,695.80","-2.81%","1,432.90","3.76","736.41","766.16","675.15","675.20"
"Sheela Foam","683.00","11.50","1.71%","1,53,592.00","129.83","7,299.90","-2.34%","3,570.10","4.07","680.45","692.03","671.90","671.50"
"Quality Power Electrical Equipments","969.40","35.20","3.77%","3,91,011.00","74.63","7,234.80","-4.83%","392.30","2.12","982.65","964.18","928.00","934.20"
"Raymond Lifestyle","1,153.20","2.40","0.21%","60,299.00","94.33","7,011.10","-2.46%","6,360.00","8.98","1,189.85","1,212.27","1,123.10","1,150.80"
"Mishra Dhatu Nigam","374.85","2.25","0.60%","2,19,219.00","59.23","6,980.30","-2.67%","1,105.00","1.37","381.93","385.89","371.00","372.60"
"Aditya Vision","549.90","13.05","2.43%","3,95,180.00","65.71","6,907.30","-4.21%","2,267.60","18.76","557.60","540.79","534.05","536.85"
"Balu Forge Industries","615.65","10.10","1.67%","5,92,188.00","30.94","6,902.80","-4.75%","940.80","8.33","630.27","643.45","605.55","605.55"
"FDC","426.05","4.40","1.04%","2,09,077.00","30.75","6,864.90","-7.51%","2,198.80","2.43","441.04","454.63","421.65","421.65"
"Ajax Engineering","594.20","13.10","2.25%","81,719.00","27.63","6,648.20","-3.15%","2,116.70","6.51","615.89","646.82","591.65","581.10"
"JK Paper","386.85","2.50","0.65%","4,76,873.00","21.45","6,511.00","-2.63%","6,826.20","11.50","399.73","395.67","385.75","384.35"
"Indian Metals & Ferro Alloys","1,197.00","68.00","6.02%","4,01,612.00","19.49","6,091.40","-0.47%","2,631.10","3.69","1,161.85","1,089.14","1,117.00","1,129.00"
"Pearl Global Industries","1,364.10","66.70","5.14%","2,99,166.00","26.72","5,964.70","3.65%","4,539.80","6.50","1,329.99","1,307.18","1,297.00","1,297.40"
"Ashapura Minechem","636.45","15.30","2.46%","3,50,880.00","17.74","5,933.60","-4.22%","2,813.80","18.01","657.69","627.00","623.65","621.15"
"Seshaasai Technologies","372.55","7.90","2.17%","99,598.00","27.15","5,900.20","-0.32%","1,473.60","1.24","391.18","-","359.10","364.65"
"Chemplast Sanmar","377.45","4.55","1.22%","33,566.00","-30.00","5,895.90","-5.37%","4,393.10","13.15","387.43","404.29","373.00","372.90"
"GHCL","618.40","7.40","1.21%","1,02,312.00","10.43","5,870.00","-3.41%","3,271.20","25.67","633.65","600.10","610.00","611.00"
"HG Infra Engineering","904.40","6.00","0.67%","40,523.00","13.32","5,855.00","-1.94%","5,069.90","2.32","920.15","954.86","890.00","898.40"
"Dhanuka Agritech","1,318.90","25.90","2.00%","41,809.00","20.28","5,828.60","-4.02%","2,071.30","2.30","1,398.19","1,495.59","1,293.00","1,293.00"
"MAS Financial Services","307.35","3.15","1.04%","1,89,744.00","16.33","5,519.80","0.62%","1,600.10","3.18","305.03","308.69","304.20","304.20"
"Indo Count Industries","275.05","2.10","0.77%","1,28,139.00","26.52","5,405.90","-2.96%","4,190.90","9.99","275.38","269.46","275.00","272.95"
"Paras Defence Space Tech","676.60","6.50","0.97%","4,87,524.00","88.44","5,400.20","-4.56%","372.60","5.69","705.94","696.93","665.00","670.10"
"Unimech Aerospace and Manufacturing","988.00","11.60","1.19%","31,039.00","61.36","4,965.70","-2.18%","267.70","0.21","987.14","1,020.42","976.30","976.40"
"VRL Logistics","273.10","4.10","1.52%","3,20,865.00","20.46","4,752.90","-2.41%","3,186.40","3.99","270.76","272.98","269.00","269.00"
"Zaggle Prepaid Ocean Services","364.00","10.90","3.09%","6,82,461.00","50.19","4,740.50","-2.32%","1,330.50","8.64","358.04","363.32","352.00","353.10"
"Indigo Paints","1,004.10","13.30","1.34%","2,26,411.00","33.14","4,723.70","0.42%","1,359.20","11.80","1,021.48","1,073.45","1,005.65","990.80"
"Sunflag Iron & Steel Company","260.35","1.25","0.48%","1,11,040.00","23.84","4,669.50","-2.82%","3,552.10","0.65","263.80","265.80","257.50","259.10"
"Pace Digitek","215.31","1.71","0.80%","5,04,603.00","16.35","4,610.60","0.06%","2,462.20","4.89","217.03","-","213.00","213.60"
"Entero Healthcare Solutions","1,089.30","31.70","3.00%","1,16,635.00","40.57","4,601.50","-1.46%","5,135.30","14.67","1,103.48","1,128.28","1,051.00","1,057.60"
"Aarti Drugs","491.45","2.55","0.52%","4,12,614.00","23.91","4,462.20","0.07%","2,403.40","2.69","503.39","498.46","485.00","488.90"
"Moschip Technologies","233.75","4.40","1.92%","34,21,484.00","105.29","4,406.30","-6.65%","470.80","0.81","257.59","246.85","228.25","229.35"
"NIIT Learning Systems","328.30","8.85","2.77%","2,30,551.00","21.78","4,378.70","1.02%","1,698.20","17.43","327.41","329.53","315.20","319.45"
"SG Mart","350.35","2.95","0.85%","4,89,464.00","36.77","4,377.20","1.02%","5,936.40","1.16","349.15","-","347.00","347.40"
"Ceigall India","248.80","1.50","0.61%","60,074.00","16.68","4,308.10","-1.07%","3,493.00","2.48","253.62","260.98","248.25","247.30"
