"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"ICICI Bank","1,343.00","22.60","1.71%","77,19,245.00","16.84","9,43,185.00","-0.17%","2,94,586.90","45.56","1,372.58","1,384.92","1,320.40","1,320.40"
"Bajaj Finance","1,066.60","24.70","2.37%","69,40,923.00","37.64","6,48,320.40","2.28%","69,724.80","21.97","1,058.74","1,005.46","1,039.00","1,041.90"
"Infosys","1,476.80","10.10","0.69%","87,65,759.00","21.80","6,09,324.70","-0.37%","1,66,590.00","30.08","1,488.48","1,488.25","1,470.00","1,466.70"
"Adani Ports & SEZ","1,448.30","11.50","0.80%","21,84,538.00","26.14","3,10,368.80","-0.22%","32,383.10","13.61","1,444.05","1,407.45","1,435.00","1,436.80"
"Bharat Electronics","414.25","5.45","1.33%","1,01,41,248.00","53.18","2,98,823.80","-2.78%","24,511.10","18.15","413.73","401.01","408.00","408.80"
"JSW Steel","1,171.70","2.90","0.25%","8,45,047.00","47.17","2,85,824.70","-2.84%","1,69,518.00","25.55","1,170.07","1,132.05","1,160.10","1,168.80"
"Power Grid Corporation of India","272.00","1.80","0.67%","1,13,79,131.00","16.65","2,51,302.30","-5.60%","47,459.40","25.67","287.00","285.56","270.20","270.20"
"Coal India","376.00","2.85","0.76%","46,50,451.00","7.46","2,29,962.20","-3.25%","1,52,839.00","7.96","386.06","387.38","372.00","373.15"
"Hindustan Zinc","474.50","7.30","1.56%","30,11,457.00","18.98","1,97,406.90","-0.42%","35,066.00","1.31","488.40","468.44","465.00","467.20"
"Jio Financial Services","299.30","1.20","0.40%","93,64,502.00","116.44","1,89,387.20","-2.44%","2,078.90","11.84","307.35","308.31","297.00","298.10"
"Hindalco Industries","790.40","2.00","0.25%","1,31,89,011.00","10.00","1,77,171.30","-6.78%","2,41,204.00","32.10","804.82","768.99","788.50","788.40"
"HDFC Life Insurance","749.25","13.20","1.79%","17,09,430.00","85.31","1,58,651.70","2.38%","97,385.10","24.81","744.70","759.41","731.05","736.05"
"Pidilite Industries","1,454.80","12.00","0.83%","5,33,597.00","65.93","1,46,835.80","0.71%","13,387.50","0.00","1,496.14","1,510.87","1,448.00","1,442.80"
"Tata Power","393.20","1.45","0.37%","46,76,601.00","25.92","1,25,177.40","-2.89%","66,992.20","10.19","398.29","391.94","390.95","391.75"
"Max Healthcare Institute","1,135.30","9.90","0.88%","17,96,900.00","96.26","1,09,415.50","-1.09%","7,184.10","51.80","1,169.32","1,158.68","1,126.00","1,125.40"
"REC","364.95","2.25","0.62%","63,42,222.00","5.56","95,507.00","-2.64%","56,434.00","17.97","373.62","373.19","360.30","362.70"
"Zydus Life Science","944.10","7.40","0.79%","6,67,543.00","18.88","94,253.90","-3.11%","23,511.00","7.34","987.01","1,002.10","938.45","936.70"
"Havells","1,448.50","6.20","0.43%","5,86,545.00","62.22","90,462.00","-3.04%","22,081.30","19.28","1,482.68","1,524.26","1,444.00","1,442.30"
"JSW Energy","519.15","1.80","0.35%","15,62,135.00","40.70","90,420.80","-1.57%","12,639.50","12.13","534.52","528.41","522.00","517.35"
"Info Edge","1,345.40","18.60","1.40%","10,77,290.00","62.59","86,032.40","-2.39%","3,922.80","30.33","1,350.28","1,357.66","1,321.00","1,326.80"
"SBI Cards","872.00","1.80","0.21%","6,63,704.00","43.27","82,803.40","-0.76%","18,637.10","10.10","909.85","877.31","865.00","870.20"
"Fortis Healthcare","1,020.00","10.10","1.00%","17,19,538.00","85.38","76,243.20","-0.30%","7,849.70","27.90","1,058.17","1,001.38","1,007.00","1,009.90"
