"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Le Travenues Technology (IXIGO)","280.40","4.15","1.50%","50,75,495.00","257.39","10,784.90","268.95","59.64"
"NALCO","234.73","4.14","1.80%","1,22,49,764.00","7.04","42,350.90","234.28","16.22"
"VRL Logistics","273.10","4.10","1.52%","3,20,865.00","20.46","4,752.90","274.76","3.99"
"Crizac","306.90","4.05","1.34%","4,04,532.00","28.64","5,299.30","307.53","3.74"
"Bharat Heavy Electricals","263.85","3.80","1.46%","1,00,52,522.00","164.81","90,551.10","264.32","6.23"
"Talbros Automotive Components","291.00","3.80","1.32%","66,504.00","18.64","1,772.80","291.32","0.72"
"Marine Electricals","232.55","3.75","1.64%","6,05,195.00","69.01","3,156.20","239.71","0.00"
"Shreeji Shipping Global","272.05","3.55","1.32%","8,20,694.00","31.05","4,374.40","269.85","0.45"
"Steelcast","208.52","3.53","1.72%","1,11,919.00","23.75","2,074.50","213.00","0.19"
"Petronet LNG","278.50","3.50","1.27%","10,96,702.00","11.26","41,250.00","280.06","28.03"
"Quess Corp","226.54","3.43","1.54%","2,36,014.00","68.81","3,326.20","230.94","14.11"
"Triveni Engineering & Industries","360.50","3.25","0.91%","21,98,767.00","31.15","7,820.10","358.27","5.71"
"Bajaj Consumer Care","301.50","3.20","1.07%","9,74,698.00","34.09","4,088.30","290.94","10.12"
"HUDCO","230.69","3.17","1.39%","30,27,164.00","16.59","45,547.20","233.12","1.94"
"MAS Financial Services","307.35","3.15","1.04%","1,89,744.00","16.33","5,519.80","310.00","3.18"
"Sky Gold And Diamonds","352.00","3.15","0.90%","5,30,706.00","35.14","5,402.40","354.70","0.55"
"Nazara Technologies","265.05","3.15","1.20%","7,02,898.00","115.22","9,702.50","266.82","12.63"
"Shalby","235.51","2.98","1.28%","1,15,436.00","-490.73","2,511.60","239.25","4.64"
"SG Mart","350.35","2.95","0.85%","4,89,464.00","36.77","4,377.20","345.88","1.16"
"Religare Enterprises","258.30","2.85","1.12%","10,90,920.00","51.89","8,446.60","261.31","7.80"
"Coal India","376.00","2.85","0.76%","46,50,451.00","7.46","2,29,962.20","380.78","7.96"
"GK Energy","206.12","2.81","1.38%","7,58,593.00","31.39","4,123.50","208.85","1.68"
