"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Close Price (15 Min)","Open Price","Previous Stochastic RSI (14, 15 Min)","RSI (14, 15 Min)","RSI (14)"
"Premier Energies","1,029.80","25.60","2.55%","20,44,854.00","39.10","45,266.80","1,046.98","4.23","1,038.90","998.00","97.60","79.93","43.88"
"Bajaj Finance","1,066.60","24.70","2.37%","69,40,923.00","37.64","6,48,320.40","1,050.28","21.97","1,069.60","1,039.00","40.27","62.68","58.54"
"Voltas","1,321.50","29.10","2.25%","6,66,465.00","68.30","42,763.50","1,344.52","20.26","1,322.00","1,292.40","90.20","53.45","36.48"
"Max Financial Services","1,618.10","33.90","2.14%","3,52,093.00","167.45","54,673.10","1,580.22","44.78","1,620.20","1,576.20","50.43","62.54","61.61"
"ICICI Bank","1,343.00","22.60","1.71%","77,19,245.00","16.84","9,43,185.00","1,338.40","45.56","1,342.80","1,320.40","30.50","64.35","41.32"
"PB FinTech","1,783.80","26.40","1.50%","19,06,537.00","178.57","80,709.90","1,791.98","43.64","1,787.30","1,749.00","59.65","57.43","53.59"
"Info Edge","1,345.40","18.60","1.40%","10,77,290.00","62.59","86,032.40","1,349.76","30.33","1,344.50","1,321.00","85.51","67.13","47.51"
"Cochin Shipyard","1,725.80","23.10","1.36%","7,45,707.00","54.02","44,794.80","1,754.74","3.22","1,733.00","1,699.00","78.19","65.59","38.74"
"Fortis Healthcare","1,020.00","10.10","1.00%","17,19,538.00","85.38","76,243.20","1,020.55","27.90","1,020.20","1,007.00","100.00","62.34","46.87"
"Max Healthcare Institute","1,135.30","9.90","0.88%","17,96,900.00","96.26","1,09,415.50","1,138.56","51.80","1,136.10","1,126.00","98.09","63.06","42.09"
"Infosys","1,476.80","10.10","0.69%","87,65,759.00","21.80","6,09,324.70","1,475.84","30.08","1,478.00","1,470.00","88.47","64.74","47.50"
"Bharat Dynamics","1,447.70","9.60","0.67%","9,84,121.00","94.56","52,715.40","1,486.68","2.43","1,446.00","1,425.10","93.36","54.24","37.67"
"J B Chemicals and Pharmaceuticals","1,702.90","11.10","0.66%","65,433.00","38.89","26,493.00","1,697.54","15.30","1,703.40","1,675.00","82.76","57.50","53.18"
"Torrent Power","1,281.20","8.00","0.63%","2,13,066.00","23.03","64,157.00","1,304.00","8.81","1,281.00","1,267.00","49.47","53.43","47.49"
"ACC","1,840.50","8.10","0.44%","2,31,911.00","10.37","34,410.10","1,851.50","5.05","1,845.90","1,828.00","24.89","61.13","46.24"
"Havells","1,448.50","6.20","0.43%","5,86,545.00","62.22","90,462.00","1,473.68","19.28","1,450.00","1,444.00","28.74","48.63","36.19"
"Cipla","1,505.70","4.20","0.28%","10,37,508.00","22.36","1,21,284.30","1,504.66","24.55","1,509.80","1,500.00","64.91","61.73","40.84"
"JSW Steel","1,171.70","2.90","0.25%","8,45,047.00","47.17","2,85,824.70","1,184.58","25.55","1,174.00","1,160.10","56.95","55.99","53.48"
"Glenmark Pharmaceuticals","1,811.50","1.10","0.06%","5,53,200.00","67.95","51,089.60","1,851.32","20.73","1,822.40","1,801.40","82.23","56.72","34.33"
