"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)"
"Bharat Heavy Electricals","267.25","2.30","0.87%","90,63,915.00","165.63","92,257.30"
"Canara Robeco Asset Management Company","317.20","7.20","2.32%","15,30,232.00","31.04","6,181.90"
"Crest Ventures","378.10","5.20","1.39%","9,832.00","16.03","1,060.90"
"Swaraj Suiting","208.30","13.15","6.74%","69,500.00","12.83","429.70"
"Keynote Financial Services","360.00","60.00","20.00%","2,78,273.00","14.53","210.60"
"Macobs Technologies","202.90","2.55","1.27%","16,800.00","75.32","196.20"
