"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Close Price (15 Min)","Open Price","Previous Stochastic RSI (14, 15 Min)","RSI (14, 15 Min)","RSI (14)"
"Max Financial Services","1,592.40","32.50","2.08%","11,55,844.00","161.35","53,834.50","1,554.76","44.78","1,600.00","1,566.00","28.57","71.64","57.40"
"Cholamandalam Investment","1,745.90","27.40","1.59%","18,86,397.00","32.56","1,44,594.40","1,716.68","26.85","1,745.00","1,720.00","97.90","68.38","66.69"
"Bajaj Finance","1,057.00","13.90","1.33%","62,02,540.00","36.80","6,49,067.10","1,051.63","21.97","1,055.00","1,040.00","68.47","57.93","56.79"
"Lupin","1,997.00","13.20","0.67%","12,02,638.00","24.37","90,611.00","1,969.20","20.49","2,003.50","1,985.80","75.66","62.63","59.93"
"Dr Reddys Laboratories","1,200.00","4.00","0.33%","10,15,516.00","17.40","99,819.80","1,209.34","35.52","1,198.90","1,198.00","80.81","55.13","35.00"
