"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding","Supertrend (15 Min)","High Price (15 Min)","EMA (20, 15 Min)","Open Price","Stochastic RSI (14)","Previous Volume"
"Bharti Airtel","2,113.30","39.30","1.89%","1,22,63,078.00","29.42","11,82,616.60","2,081.74","27.42","2,089.30","2,116.90","2,108.06","2,107.00","39.46","29,79,629.00"
"AU Small Finance Bank","880.30","13.35","1.54%","29,81,577.00","29.77","64,665.60","877.17","34.49","872.15","881.00","877.14","866.95","47.12","12,45,468.00"
"Cholamandalam Investment","1,745.90","27.40","1.59%","18,86,397.00","32.56","1,44,594.40","1,716.68","26.85","1,729.60","1,775.80","1,732.48","1,720.00","42.38","11,70,459.00"
