"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Quadrant Future Tek","335.95","26.40","8.53%","1,66,19,570.00","-","1,238.20","335.93","1.56"
"City Union Bank","258.65","22.61","9.58%","3,90,15,302.00","15.01","17,491.70","239.03","25.96"
"SG Mart","349.90","14.95","4.46%","6,98,517.00","35.13","4,220.40","352.02","1.16"
"IndoStar Capital Finance","268.94","12.39","4.83%","13,94,481.00","5.67","3,508.10","251.93","2.90"
"Asian Energy Services","343.60","11.05","3.32%","8,49,798.00","32.57","1,489.00","336.32","0.94"
"GNG Electronics","346.65","10.85","3.23%","6,37,190.00","55.61","3,828.50","333.07","3.42"
"Garuda Construction & Engineering","224.88","10.79","5.04%","1,65,24,999.00","23.10","1,991.90","211.40","3.09"
"Baazar Style Retail","333.00","10.20","3.16%","6,26,001.00","140.48","2,408.60","327.72","3.13"
"Indus Towers","392.55","9.80","2.56%","2,41,89,758.00","11.02","1,00,975.70","377.64","26.20"
"Simplex Infrastructures","296.65","9.20","3.20%","11,72,887.00","85.90","2,273.60","279.54","0.44"
"Hubtown","315.20","8.75","2.86%","5,70,512.00","34.75","4,233.20","303.35","2.05"
"All Time Plastics","308.75","8.00","2.66%","4,32,116.00","41.63","1,970.10","303.97","3.36"
"Windsor Machines","295.05","7.90","2.75%","74,027.00","-259.19","2,425.80","286.48","1.06"
"Suraksha Diagnostic","324.05","7.30","2.30%","60,559.00","50.67","1,649.70","320.71","13.72"
"Canara Robeco Asset Management Company","317.20","7.20","2.32%","15,30,232.00","31.04","6,181.90","318.09","3.63"
"EPack Prefab Technologies","301.45","5.85","1.98%","2,16,51,145.00","38.46","2,969.40","277.83","3.00"
"Bharat Petroleum","372.95","5.65","1.54%","1,26,49,509.00","7.51","1,59,353.30","360.55","16.53"
"Ddev Plastiks Industries","296.85","5.55","1.91%","1,47,898.00","15.45","3,014.30","299.44","1.13"
"Bajaj Consumer Care","291.60","5.50","1.92%","12,74,209.00","32.42","3,921.10","278.63","10.12"
"Crizac","313.55","5.45","1.77%","6,22,371.00","28.76","5,391.20","306.65","3.74"
"Dishman Carbogen Amcis","297.60","5.40","1.85%","3,88,554.00","43.86","4,581.20","293.55","8.07"
"Rashi Peripherals","335.20","4.95","1.50%","64,266.00","10.05","2,176.30","332.18","1.39"
"Senco Gold","334.15","4.95","1.50%","7,17,413.00","25.33","5,389.60","328.39","8.81"
"Marine Electricals","245.70","4.85","2.01%","11,60,210.00","77.94","3,322.40","243.43","0.00"
"DAM Capital Advisors","252.41","4.76","1.92%","5,58,957.00","21.42","1,750.50","247.44","1.76"
"Jain Resource Recycling","377.25","4.55","1.22%","21,20,907.00","48.25","12,861.30","384.27","6.42"
"BLS International Services","321.95","4.45","1.40%","13,96,601.00","21.79","13,072.80","316.04","6.82"
"Flair Writing Industries","314.20","4.10","1.32%","2,10,883.00","26.84","3,268.30","309.13","0.44"
"Precision Wires India","229.14","3.96","1.76%","4,93,210.00","42.89","4,054.20","226.80","0.75"
"V-Guard Industries","373.35","3.65","0.99%","3,25,193.00","55.68","16,118.90","371.40","12.45"
"Pennar Industries","274.55","3.65","1.35%","9,68,695.00","29.24","3,655.70","266.02","6.74"
"Mahindra Logistic","344.20","3.55","1.04%","1,16,148.00","-111.42","3,378.60","351.87","3.86"
"Hindware Home Innovation","376.95","3.55","0.95%","1,58,240.00","-33.55","3,123.40","370.53","3.15"
"Le Travenues Technology (IXIGO)","260.95","3.45","1.34%","36,88,457.00","236.01","10,052.90","277.00","59.64"
"Biocon","380.50","3.35","0.89%","42,95,964.00","76.82","50,423.60","376.01","6.61"
"EIH Hotels","399.10","3.30","0.83%","3,16,642.00","34.85","24,751.90","393.91","5.93"
"Steelcast","214.73","2.88","1.36%","2,38,280.00","24.02","2,143.90","221.69","0.19"
"Sagar Cements","228.23","2.64","1.17%","75,806.00","-17.96","2,948.60","226.05","2.84"
"Euro Pratik Sales","321.75","2.60","0.81%","2,05,075.00","46.48","3,261.70","316.58","1.66"
"NLC India","262.10","2.55","0.98%","14,93,912.00","13.18","35,990.20","259.99","3.24"
"DB Corp","265.75","2.55","0.97%","1,11,219.00","13.61","4,691.30","265.98","12.62"
"Sonata Software","374.25","2.55","0.69%","2,96,116.00","24.34","10,423.40","372.57","8.85"
"BLS E-Services","202.32","2.47","1.24%","34,82,299.00","28.49","1,815.80","185.34","0.21"
"Bharat Heavy Electricals","267.25","2.30","0.87%","90,63,915.00","165.63","92,257.30","260.87","6.23"
"AWL Agri Business","277.35","2.25","0.82%","33,22,377.00","32.98","35,754.20","275.65","14.11"
"Vardhman Special Steels","295.35","2.25","0.77%","1,64,441.00","30.38","2,828.50","292.81","0.55"
"Kitex Garments","205.20","2.17","1.07%","9,74,748.00","31.61","4,050.40","208.65","1.16"
"Genus Power Infrastructures","353.45","1.95","0.55%","11,27,150.00","26.69","10,689.50","339.92","18.75"
"Mamaearth","280.90","1.75","0.63%","2,17,305.00","122.91","9,082.70","280.58","15.50"
"Elin Electronics","209.79","1.66","0.80%","2,28,490.00","31.61","1,033.60","210.80","0.78"
"Sky Gold And Diamonds","359.10","1.40","0.39%","9,90,351.00","35.71","5,539.50","355.29","0.55"
"Monarch Networth Capital","310.95","1.35","0.44%","60,784.00","15.87","2,288.20","309.17","1.78"
"Sequent Scientific","219.10","1.26","0.58%","11,36,428.00","134.54","5,482.00","215.50","5.91"
"ACME Solar Holdings","273.80","1.15","0.42%","39,79,407.00","43.41","16,497.70","280.49","5.57"
"Fabtech Technologies","237.72","1.12","0.47%","6,29,386.00","22.66","1,051.70","235.58","1.91"
"Greaves Cotton","220.92","1.09","0.50%","25,18,144.00","349.05","5,118.60","226.31","2.64"
"Veranda Learning Solutions","229.31","1.07","0.47%","2,12,527.00","-23.52","2,136.40","232.42","2.92"
"Epack Durable","333.65","1.05","0.32%","4,79,487.00","58.57","3,191.90","339.37","1.48"
