Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","Hitachi Energy India Ltd","POWERINDIA","P&F | F.A","14.16","20457.00","1237485"
"2","Banco Products (i) Limited","BANCOINDIA","P&F | F.A","11.86","820.20","12962780"
"3","City Union Bank Limited","CUB","P&F | F.A","9.58","258.65","39015302"
"4","Quadrant Future Tek Ltd","QUADFUTURE","P&F | F.A","8.53","335.95","16619570"
"5","Jyoti CNC Automation Ltd","JYOTICNC","P&F | F.A","7.24","940.20","4244037"
"6","Siyaram Silk Mills Limited","SIYSIL","P&F | F.A","6.86","826.35","1952849"
"7","RBZ Jewellers Ltd","RBZJEWEL","P&F | F.A","6.50","158.86","1478170"
"8","TBO Tek Ltd","TBOTEK","P&F | F.A","6.17","1589.00","5084237"
"9","S J S Enterprises Ltd","SJS","P&F | F.A","6.03","1730.60","2749854"
"10","Garuda Construction and Engineering Ltd","GARUDA","P&F | F.A","5.04","224.88","16524999"
"11","GMR Power & Urban Infra Ltd","GMRP&UI","P&F | F.A","4.02","122.88","6992004"
"12","Alembic Pharmaceuticals Limited","APLLTD","P&F | F.A","3.95","960.70","1596017"
"13","Systematix Corporate Services Ltd","SYSTMTXC","P&F | F.A","3.89","166.57","1728805"
"14","Simplex Infrastructures Limited","SIMPLEXINF","P&F | F.A","3.20","296.65","1172887"
"15","Delhivery Ltd","DELHIVERY","P&F | F.A","2.67","484.85","10002943"
"16","Indian Metals & Ferro Alloys Limited","IMFA","P&F | F.A","1.69","1230.60","1085421"
"17","Supriya Lifescience Ltd","SUPRIYA","P&F | F.A","1.43","796.25","1188304"
