"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Mahindra Logistic","344.20","3.55","1.04%","1,16,148.00","-111.42","3,378.60","-0.46%","6,120.70","3.86","354.03","344.40","341.00","340.65"
"Krishana Phoschem","505.65","2.90","0.58%","41,086.00","26.00","3,044.30","-1.25%","1,368.20","0.00","538.24","543.78","505.60","502.75"
"Ddev Plastiks Industries","296.85","5.55","1.91%","1,47,898.00","15.45","3,014.30","-2.85%","2,621.30","1.13","310.03","324.35","293.00","291.30"
"Jash Engineering","476.00","2.75","0.58%","44,779.00","36.38","2,969.90","-0.41%","745.60","2.06","483.06","499.57","477.05","473.25"
"Polyplex Corporation","948.30","4.00","0.42%","19,647.00","14.76","2,964.40","-2.85%","6,980.60","9.31","978.51","1,013.24","944.30","944.30"
"Sagar Cements","228.23","2.64","1.17%","75,806.00","-17.96","2,948.60","0.42%","2,279.10","2.84","237.92","255.01","227.80","225.59"
"Ram Ratna Wires","626.90","6.55","1.06%","12,616.00","41.48","2,892.50","-0.57%","3,694.60","0.10","627.04","664.30","621.00","620.35"
"Savita Oil Technologies","395.30","3.55","0.91%","19,013.00","21.01","2,685.90","-1.11%","3,859.70","0.83","398.56","402.93","390.10","391.75"
"Dalmia Bharat Sugar & Industries","338.30","8.40","2.55%","45,008.00","9.87","2,670.20","-6.74%","3,028.00","0.97","358.80","365.52","334.95","329.90"
"Federal Mogul Goetze","501.70","29.40","6.22%","2,97,445.00","14.78","2,627.50","7.44%","1,844.10","0.68","478.46","516.68","474.80","472.30"
"Xpro","1,108.20","10.70","0.97%","7,660.00","139.11","2,549.50","-1.91%","554.20","14.45","1,104.56","1,148.58","1,089.00","1,097.50"
"Windsor Machines","295.05","7.90","2.75%","74,027.00","-259.19","2,425.80","8.18%","370.30","1.06","291.73","300.16","287.90","287.15"
"Baazar Style Retail","333.00","10.20","3.16%","6,26,001.00","140.48","2,408.60","1.49%","1,352.70","3.13","328.03","343.68","325.00","322.80"
"Mold-Tek Packaging","700.45","7.90","1.14%","36,603.00","24.82","2,293.80","-11.18%","633.00","10.93","743.45","776.01","686.30","692.55"
"Monarch Networth Capital","310.95","1.35","0.44%","60,784.00","15.87","2,288.20","0.66%","328.00","1.78","311.43","320.80","309.00","309.60"
"Cosmo First","881.25","10.60","1.22%","87,802.00","15.77","2,285.40","2.97%","2,969.60","3.24","875.38","910.51","870.65","870.65"
"NDR Auto Components","967.20","11.70","1.22%","10,742.00","41.03","2,272.70","0.58%","717.10","0.18","979.11","1,030.78","959.30","955.50"
