"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","High Price","High Price (Year)","Price %Change (Week)","Revenue (Yearly)","FII Holding","EMA (50, 15 Min)","Previous EMA (10, 15 Min)","Supertrend (15 Min)","Open Price","Previous Volume","Close Price","Supertrend"
"TechD Cybersecurity","843.15","39.70","4.94%","2,13,600.00","71.54","601.00","843.60","803.45","26.34%","30.20","0.00","815.54","838.32","849.05","843.60","12,000.00","843.15","693.22"
"Monolithisch","535.75","26.65","5.23%","1,86,250.00","76.33","1,106.60","560.00","509.10","19.55%","97.50","0.00","519.33","538.16","522.81","555.00","1,39,000.00","535.75","458.70"
"Dredging Corporation of India","910.45","21.10","2.37%","34,84,719.00","-128.46","2,490.20","954.40","1,085.00","40.37%","1,148.00","0.15","880.51","916.53","961.81","932.90","31,13,281.00","910.45","761.62"
"TAC Infosec","869.90","13.05","1.52%","99,600.00","121.20","1,795.90","899.65","1,697.00","11.97%","32.20","0.00","862.02","875.49","897.47","889.00","54,400.00","869.90","754.14"
"Smartworks Coworking Spaces","606.65","12.40","2.09%","2,07,140.00","-107.43","6,782.30","619.00","617.90","5.42%","1,409.70","0.92","598.62","604.85","595.02","607.70","1,97,272.00","606.65","539.79"
"Tankup Engineers","573.95","11.00","1.95%","3,250.00","-","298.10","574.20","562.95","11.08%","20.50","0.00","560.81","573.84","572.95","573.95","2,000.00","562.95","525.67"
"Jeena Sikho Lifecare","782.60","10.15","1.31%","3,25,872.00","285.35","9,601.60","805.00","2,498.60","6.19%","207.30","6.59","773.43","782.70","768.44","801.95","1,87,015.00","782.60","815.87"
