"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","Previous Pivot Point (Standard)","Previous Support 1 (Standard)","Upper Bollinger Bands","SMA (10)","SMA (20)","Open Price","Close Price","SMA (50)","EMA (10)","EMA (20)"
"EPack Prefab Technologies","301.45","5.85","1.98%","2,16,51,145.00","38.46","2,969.40","19.64%","1,140.50","3.00","282.63","263.27","305.47","261.72","228.63","291.00","301.45","-","263.04","233.13"
"Prime Securities","304.75","10.75","3.66%","75,559.00","29.68","989.20","4.73%","89.40","4.47","292.37","286.73","306.28","290.49","290.33","298.90","304.75","274.41","292.07","287.78"
"All Time Plastics","308.75","8.00","2.66%","4,32,116.00","41.63","1,970.10","1.61%","559.20","3.36","301.48","297.67","314.19","297.97","285.15","300.00","308.75","286.27","297.82","291.00"
"Crizac","313.55","5.45","1.77%","6,22,371.00","28.76","5,391.20","2.00%","884.80","3.74","307.57","305.33","334.38","312.50","301.05","307.50","313.55","323.37","308.48","307.80"
"Career Point Edutech","315.90","5.75","1.85%","46,963.00","29.97","564.30","-4.56%","52.40","0.17","311.07","305.18","338.43","316.10","296.47","313.00","315.90","-","310.64","300.16"
"Euro Pratik Sales","321.75","2.60","0.81%","2,05,075.00","46.48","3,261.70","7.46%","291.50","1.66","318.15","315.50","329.53","299.82","280.62","319.15","321.75","-","302.98","286.32"
"OBSC Perfection","323.95","8.95","2.84%","27,600.00","-","770.30","4.58%","145.20","0.00","314.67","308.33","321.73","311.09","303.58","318.95","323.95","314.85","311.37","308.60"
"Suraksha Diagnostic","324.05","7.30","2.30%","60,559.00","50.67","1,649.70","0.37%","255.90","13.72","317.55","314.20","331.96","318.23","306.68","312.05","324.05","307.45","316.81","312.01"
"WomanCart","324.75","23.65","7.85%","69,600.00","26.41","189.90","12.88%","60.20","0.00","300.37","294.73","309.22","275.70","259.12","305.10","324.75","252.93","282.95","267.66"
"Chandan Healthcare","332.90","14.35","4.50%","84,800.00","33.11","778.90","2.12%","232.20","0.00","321.10","307.45","360.37","329.88","308.73","320.05","332.90","261.47","323.80","307.85"
