"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","Previous Pivot Point (Standard)","Previous Support 1 (Standard)","Upper Bollinger Bands","SMA (10)","SMA (20)","Open Price","Close Price","SMA (50)","EMA (10)","EMA (20)"
"Rashi Peripherals","335.20","4.95","1.50%","64,266.00","10.05","2,176.30","-1.14%","13,833.40","1.39","330.88","327.52","344.98","333.02","332.28","330.25","335.20","315.59","332.37","329.97"
"IRIS Business Services","335.30","14.05","4.37%","43,831.00","62.27","659.80","6.34%","128.50","1.73","322.25","315.05","328.51","318.95","317.03","321.25","335.30","325.43","320.28","319.34"
"Asian Hotels (North)","338.45","3.50","1.04%","7,706.00","-5.15","651.60","2.08%","134.80","5.64","340.78","326.72","340.45","333.05","333.32","329.90","338.45","331.31","333.95","333.02"
"Rappid Valves","339.00","7.85","2.37%","22,200.00","28.47","171.90","7.47%","52.30","0.00","331.38","327.77","335.43","318.82","317.49","332.00","339.00","313.46","323.12","318.38"
"Genus Power Infrastructures","353.45","1.95","0.55%","11,27,150.00","26.69","10,689.50","19.41%","2,524.60","18.75","348.12","341.68","346.93","320.30","312.78","352.10","353.45","323.52","328.04","320.72"
"Sky Gold And Diamonds","359.10","1.40","0.39%","9,90,351.00","35.71","5,539.50","2.66%","3,581.00","0.55","357.40","352.80","381.25","358.55","343.83","357.10","359.10","308.93","353.11","341.41"
"Keynote Financial Services","360.00","60.00","20.00%","2,78,273.00","14.53","210.60","39.44%","30.70","9.26","303.00","292.55","343.21","287.86","286.42","297.10","360.00","264.73","299.25","285.80"
"Brand Concepts","372.60","17.70","4.99%","11,295.00","305.13","440.90","6.85%","293.00","0.01","348.00","338.90","366.15","347.00","343.22","355.00","372.60","321.84","350.07","344.59"
"Bharat Petroleum","372.95","5.65","1.54%","1,26,49,509.00","7.51","1,59,353.30","9.48%","4,42,956.60","16.53","364.35","359.20","366.27","348.72","343.73","369.85","372.95","331.04","353.57","346.08"
"V-Guard Industries","373.35","3.65","0.99%","3,25,193.00","55.68","16,118.90","-1.33%","5,598.70","12.45","371.17","361.53","383.23","371.73","364.17","370.50","373.35","366.17","369.97","368.02"
"Sonata Software","374.25","2.55","0.69%","2,96,116.00","24.34","10,423.40","1.01%","10,228.40","8.85","371.75","369.00","380.07","371.57","368.86","371.70","374.25","368.34","371.20","369.64"
"Hindware Home Innovation","376.95","3.55","0.95%","1,58,240.00","-33.55","3,123.40","2.70%","2,563.50","3.15","377.40","366.70","387.66","368.31","360.02","371.40","376.95","340.32","367.84","360.36"
"Jain Resource Recycling","377.25","4.55","1.22%","21,20,907.00","48.25","12,861.30","-4.54%","7,162.20","6.42","375.37","365.38","413.55","383.39","359.00","372.65","377.25","-","376.57","356.54"
"Crest Ventures","378.10","5.20","1.39%","9,832.00","16.03","1,060.90","-1.51%","204.50","1.63","374.82","368.18","398.05","381.09","366.96","370.30","378.10","370.92","375.73","372.18"
"Biocon","380.50","3.35","0.89%","42,95,964.00","76.82","50,423.60","4.03%","16,469.90","6.61","376.38","372.77","381.37","369.42","361.66","378.00","380.50","358.78","370.57","365.13"
"Medicamen Biotech","384.50","7.25","1.92%","45,664.00","70.23","511.70","8.57%","168.80","0.06","377.98","373.47","392.82","361.60","335.97","377.00","384.50","334.98","361.15","347.18"
"Kilitch Drugs","389.00","10.90","2.88%","1,46,681.00","24.77","660.90","-2.75%","209.50","0.00","382.53","370.12","402.20","384.75","373.85","376.75","389.00","364.41","383.08","376.73"
"Indus Towers","392.55","9.80","2.56%","2,41,89,758.00","11.02","1,00,975.70","1.72%","30,886.50","26.20","377.50","370.45","390.58","372.60","361.09","392.00","392.55","353.28","373.12","365.58"
"EIH Hotels","399.10","3.30","0.83%","3,16,642.00","34.85","24,751.90","1.41%","2,879.50","5.93","393.95","390.05","399.16","390.86","388.40","395.00","399.10","392.55","391.79","389.54"
"Mahindra Lifespaces Developers -RE","408.55","3.25","0.80%","4,45,079.00","53.39","8,644.20","5.84%","463.90","8.12","402.43","392.87","407.67","390.67","381.53","410.00","408.55","370.50","391.64","384.58"
"Ganesh Green Bharat","412.80","3.85","0.94%","1,39,200.00","33.33","1,014.20","1.52%","321.80","0.00","404.17","397.33","430.18","396.78","396.36","410.90","412.80","407.27","399.49","399.02"
"CSB Bank","418.65","9.90","2.42%","4,26,983.00","11.84","7,091.20","-0.51%","4,569.20","14.23","412.97","402.93","430.74","413.88","403.48","410.60","418.65","381.85","411.03","403.44"
"Arihant Superstructures","422.00","17.85","4.42%","52,820.00","25.47","1,747.90","1.53%","503.60","0.18","407.55","397.20","432.99","418.01","420.61","409.40","422.00","408.94","416.66","416.05"
"JG Chemicals","428.45","7.80","1.85%","66,691.00","24.62","1,648.40","-3.35%","858.00","4.32","423.58","416.17","449.06","432.20","424.46","423.70","428.45","443.44","429.34","429.32"
"Leela Palaces Hotels & Resorts","440.25","4.30","0.99%","4,42,445.00","56.61","14,558.90","2.71%","1,406.60","8.50","435.55","429.40","456.49","434.03","437.63","439.00","440.25","425.56","435.46","434.52"
"Sangam","446.25","4.50","1.02%","9,190.00","112.70","2,219.60","-1.38%","2,872.30","2.65","440.60","423.10","468.31","446.50","432.72","443.20","446.25","411.49","444.46","436.80"
"Bella Casa Fashion & Retail","450.05","9.50","2.16%","10,420.00","34.71","589.80","2.28%","349.50","0.00","439.40","429.10","480.79","447.31","438.07","449.90","450.05","419.83","442.00","437.21"
"Repco Home Finance","450.20","12.05","2.75%","5,47,492.00","5.90","2,741.10","10.66%","1,720.80","11.91","431.15","422.30","441.12","420.40","406.17","439.00","450.20","380.37","421.79","408.66"
"JK Tyre & Industries","453.30","10.55","2.38%","66,99,662.00","22.39","12,132.20","6.22%","14,772.20","16.10","440.22","433.43","456.31","428.11","406.40","442.15","453.30","376.56","428.13","411.95"
"KP Energy","459.60","10.55","2.35%","6,30,059.00","24.54","3,004.50","10.35%","958.50","0.49","439.68","427.37","449.66","426.34","415.52","453.45","459.60","418.07","429.49","422.17"
"Akums Drugs & Pharma","471.10","3.45","0.74%","2,06,707.00","21.23","7,360.50","3.04%","4,170.30","2.28","467.35","461.30","478.36","465.05","459.94","474.90","471.10","462.48","464.88","462.72"
"N R Agarwal Industries","471.15","12.20","2.66%","21,337.00","25.20","781.10","4.75%","1,690.40","0.39","451.65","441.30","488.95","454.88","451.35","452.20","471.15","419.67","452.80","446.15"
"Sona BLW Precision Forgings","483.80","2.55","0.53%","16,58,014.00","49.30","29,920.30","-0.11%","3,681.50","23.46","479.22","474.88","508.51","479.08","460.26","480.50","483.80","444.28","475.89","464.64"
"Delhivery","484.85","12.60","2.67%","1,00,02,943.00","177.46","35,296.70","1.90%","9,372.00","51.64","469.62","464.73","486.66","474.90","470.45","473.00","484.85","467.60","474.17","470.67"
"Jana Small Finance Bank","486.95","4.45","0.92%","2,06,639.00","12.33","5,077.20","8.45%","5,485.70","1.21","476.22","468.43","491.07","456.84","461.87","482.00","486.95","470.76","464.64","463.26"
"Star Health Insurance","488.55","1.55","0.32%","3,86,183.00","53.73","28,633.20","-1.23%","16,113.00","13.50","490.30","481.60","503.10","489.11","486.43","486.90","488.55","462.85","487.62","482.67"
