"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Resistance 2 (Standard)"
"Bharat Petroleum","372.95","5.65","1.54%","1,26,49,509.00","7.51","1,59,353.30","377.60"
"Indus Towers","392.55","9.80","2.56%","2,41,89,758.00","11.02","1,00,975.70","396.85"
"Senco Gold","334.15","4.95","1.50%","7,17,413.00","25.33","5,389.60","335.50"
"Dishman Carbogen Amcis","297.60","5.40","1.85%","3,88,554.00","43.86","4,581.20","299.80"
"Hubtown","315.20","8.75","2.86%","5,70,512.00","34.75","4,233.20","315.45"
"SG Mart","349.90","14.95","4.46%","6,98,517.00","35.13","4,220.40","351.22"
"Precision Wires India","229.14","3.96","1.76%","4,93,210.00","42.89","4,054.20","231.89"
"GNG Electronics","346.65","10.85","3.23%","6,37,190.00","55.61","3,828.50","348.03"
"IndoStar Capital Finance","268.94","12.39","4.83%","13,94,481.00","5.67","3,508.10","271.80"
"Flair Writing Industries","314.20","4.10","1.32%","2,10,883.00","26.84","3,268.30","316.70"
"Windsor Machines","295.05","7.90","2.75%","74,027.00","-259.19","2,425.80","298.95"
"Baazar Style Retail","333.00","10.20","3.16%","6,26,001.00","140.48","2,408.60","337.53"
"Simplex Infrastructures","296.65","9.20","3.20%","11,72,887.00","85.90","2,273.60","304.15"
"Rashi Peripherals","335.20","4.95","1.50%","64,266.00","10.05","2,176.30","336.98"
"Vidhi Specialty Food Ingredients","340.50","4.70","1.40%","6,406.00","35.31","1,677.20","345.10"
"Quadrant Future Tek","335.95","26.40","8.53%","1,66,19,570.00","-","1,238.20","344.92"
"Prime Securities","304.75","10.75","3.66%","75,559.00","29.68","989.20","305.27"
"Chandan Healthcare","332.90","14.35","4.50%","84,800.00","33.11","778.90","345.85"
"OBSC Perfection","323.95","8.95","2.84%","27,600.00","-","770.30","327.67"
"IRIS Business Services","335.30","14.05","4.37%","43,831.00","62.27","659.80","335.65"
"All E Technologies","271.55","3.55","1.32%","26,800.00","17.85","541.20","274.50"
"Medicamen Biotech","384.50","7.25","1.92%","45,664.00","70.23","511.70","386.28"
"Brand Concepts","372.60","17.70","4.99%","11,295.00","305.13","440.90","373.10"
"Phantom Digital Effects","256.00","7.00","2.81%","33,300.00","19.62","396.50","256.33"
"Systango Technologies","245.85","5.85","2.44%","29,600.00","14.83","352.10","249.60"
"P S Raj Steels","282.00","2.00","0.71%","1,000.00","28.48","211.10","282.67"
"Sungarner Energies","251.00","9.00","3.72%","2,200.00","33.89","56.10","258.67"
