"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"Indian Hotels Company","703.80","12.50","1.81%","29,38,488.00","53.45","98,401.90","-5.80%","8,565.00","26.14","732.68","746.69","691.30","691.30"
"Zydus Life Science","948.40","4.30","0.46%","9,20,267.00","18.88","94,998.60","-3.33%","23,511.00","7.34","984.70","1,001.31","947.00","944.10"
"Marico","719.25","7.65","1.08%","3,37,191.00","54.41","92,361.00","-0.41%","11,039.00","24.21","719.87","719.62","713.90","711.60"
"Havells","1,457.70","9.20","0.64%","9,44,575.00","62.22","90,850.90","-2.64%","22,081.30","19.28","1,481.27","1,523.06","1,452.00","1,448.50"
"JSW Energy","522.50","3.35","0.65%","8,78,117.00","40.70","90,735.40","-1.95%","12,639.50","12.13","533.51","528.60","521.00","519.15"
"SBI Cards","875.05","3.05","0.35%","3,75,947.00","43.27","82,974.70","-1.40%","18,637.10","10.10","907.45","878.50","870.90","872.00"
"Nykaa","260.82","14.95","6.08%","3,56,73,331.00","683.19","70,330.60","4.29%","7,977.10","12.54","255.78","247.11","253.02","245.87"
"Lloyds Metals & Energy","1,319.60","4.00","0.30%","1,54,383.00","45.22","69,259.50","-0.09%","6,772.60","2.30","1,323.88","1,311.48","1,321.00","1,315.60"
"Torrent Power","1,312.20","31.00","2.42%","5,40,136.00","23.03","64,560.10","-2.42%","29,652.50","8.81","1,305.76","1,275.23","1,282.00","1,281.20"
"Berger Paints","535.60","4.55","0.86%","1,80,354.00","57.39","61,914.80","-0.63%","11,639.50","5.35","539.10","536.38","530.65","531.05"
"Motilal Oswal Financial Services","1,002.10","5.65","0.57%","5,72,663.00","29.50","59,827.80","-0.67%","8,417.20","7.52","1,012.31","953.56","1,001.85","996.45"
"HDB Financial Services","731.80","19.90","2.80%","11,09,379.00","27.13","59,056.90","1.17%","16,300.30","3.17","733.57","755.50","711.95","711.90"
"Nippon Life India AMC","891.00","41.45","4.88%","6,45,831.00","40.55","54,086.30","2.37%","2,520.70","7.64","895.13","859.56","852.00","849.55"
"Voltas","1,340.70","19.20","1.45%","10,57,635.00","68.30","43,726.40","-1.83%","15,737.30","20.26","1,399.10","1,394.22","1,320.00","1,321.50"
"360 One WAM","1,074.60","8.60","0.81%","3,08,692.00","38.34","43,139.80","-1.74%","3,684.40","65.87","1,129.85","1,082.58","1,069.50","1,066.00"
"Anthem Biosciences","704.95","8.40","1.21%","15,95,386.00","86.69","39,118.90","0.26%","1,930.30","1.67","733.72","779.36","696.00","696.55"
"Jubilant FoodWorks","584.35","7.85","1.36%","8,66,793.00","150.16","38,040.10","-2.67%","8,217.10","20.10","594.28","615.67","577.95","576.50"
"NLC India","262.65","4.40","1.70%","7,81,857.00","13.10","35,809.90","1.19%","16,889.40","3.24","263.31","260.71","259.15","258.25"
"Hindustan Copper","337.95","5.15","1.55%","72,21,580.00","66.21","32,182.60","-1.11%","2,148.20","5.06","340.24","308.11","333.00","332.80"
"Exide Industries","379.10","1.75","0.46%","11,53,922.00","37.53","32,074.80","-1.10%","17,350.60","10.88","388.51","399.92","377.45","377.35"
"KPIT Technologies","1,192.90","39.90","3.46%","22,29,653.00","39.15","31,608.80","2.48%","6,009.70","14.31","1,166.55","1,199.19","1,156.30","1,153.00"
"ITI","317.55","3.00","0.95%","4,35,176.00","-161.33","30,224.70","-2.89%","3,701.60","0.00","329.09","319.17","315.80","314.55"
"Aegis Vopak Terminals","264.05","3.90","1.50%","4,34,040.00","159.85","28,824.40","-4.69%","647.30","6.07","277.16","261.48","262.50","260.15"
"Gujarat Gas","403.45","4.20","1.05%","9,69,917.00","24.02","27,773.10","-1.72%","16,695.20","3.70","413.93","425.37","400.95","399.25"
"Tata Technologies","678.90","5.95","0.88%","4,33,778.00","39.39","27,302.40","-2.49%","5,292.60","5.25","690.95","692.00","673.70","672.95"
"Aegis Logistics","769.60","8.25","1.08%","6,53,689.00","29.75","26,723.40","0.20%","6,972.10","16.88","789.20","767.78","769.00","761.35"
"Syngene International","630.20","13.90","2.26%","3,91,199.00","53.06","24,833.20","-4.20%","3,714.20","16.31","643.71","643.18","612.00","616.30"
"Manappuram Finance","277.95","7.30","2.70%","60,26,935.00","53.90","22,908.80","3.77%","10,040.90","30.16","279.05","283.29","271.60","270.65"
"Emami","525.75","11.65","2.27%","12,78,954.00","27.49","22,440.50","-1.49%","3,877.30","10.93","538.47","562.48","514.60","514.10"
"Wockhardt","1,361.30","23.60","1.76%","3,91,812.00","-426.40","21,736.60","-3.71%","3,074.00","7.10","1,346.72","1,424.11","1,337.70","1,337.70"
"Credit Access Grameen","1,407.80","60.90","4.52%","3,62,437.00","161.25","21,530.10","-0.10%","5,756.10","12.29","1,384.86","1,371.09","1,356.00","1,346.90"
"Aadhar Housing Finance","498.45","3.90","0.79%","7,04,272.00","22.57","21,418.60","-2.13%","3,108.90","6.10","510.04","514.24","499.10","494.55"
"Anant Raj","627.65","7.80","1.26%","36,62,394.00","48.44","21,277.00","-3.47%","2,100.30","10.72","641.21","624.07","635.10","619.85"
"Jyoti CNC Automation","905.70","19.55","2.21%","11,52,952.00","59.95","20,153.10","3.31%","1,832.20","9.92","906.40","907.36","889.50","886.15"
"Sundram Fasteners","949.00","8.85","0.94%","33,901.00","35.55","19,755.20","-0.68%","5,983.70","10.55","970.05","998.80","940.15","940.15"
"DCM Shriram Consolidated","1,246.30","2.40","0.19%","38,549.00","27.17","19,397.70","-2.42%","12,219.50","3.97","1,244.46","1,230.26","1,242.00","1,243.90"
"Sarda Energy & Minerals","542.70","7.85","1.47%","26,67,539.00","20.04","19,123.70","-0.63%","4,815.30","4.13","541.53","564.48","535.00","534.85"
"Sai Life Sciences","907.05","31.60","3.61%","8,18,657.00","64.16","18,318.70","-1.70%","1,731.30","22.49","891.22","876.42","871.00","875.45"
"Gabriel","1,269.20","25.80","2.07%","2,36,232.00","71.40","17,860.70","-1.41%","4,089.30","6.49","1,261.58","1,256.38","1,238.00","1,243.40"
"Crompton Greaves","280.30","3.15","1.14%","56,52,838.00","36.92","17,845.70","-1.34%","7,932.40","25.56","286.15","300.56","277.15","277.15"
"Gujarat State Petronet","301.60","2.10","0.70%","2,35,839.00","10.71","16,898.10","-2.73%","17,720.10","15.47","311.91","310.54","300.00","299.50"
"Century Plyboards","749.85","1.50","0.20%","23,282.00","81.27","16,626.30","-0.64%","4,538.10","4.27","750.20","778.64","748.00","748.35"
"Triveni Turbines","529.05","13.20","2.56%","3,78,648.00","47.79","16,397.90","-2.04%","2,086.80","23.60","526.63","525.29","517.30","515.85"
"Zensar Technologies","722.75","25.10","3.60%","6,59,968.00","22.69","15,857.30","-4.39%","5,440.80","13.30","772.06","784.08","700.00","697.65"
"PG Electroplast","532.30","4.00","0.76%","11,87,879.00","55.46","15,007.70","-7.58%","4,904.60","11.46","569.90","555.74","530.00","528.30"
"Concord Biotech","1,439.20","44.30","3.18%","51,714.00","41.12","14,592.90","-2.08%","1,244.50","8.03","1,483.34","1,576.07","1,399.00","1,394.90"
"Leela Palaces Hotels & Resorts","438.70","2.10","0.48%","2,65,694.00","56.97","14,580.60","0.63%","1,406.60","8.50","437.69","426.55","436.25","436.60"
"Zydus Wellness","461.60","11.25","2.50%","1,78,841.00","56.53","14,328.40","-3.79%","2,722.50","3.43","471.46","474.83","452.40","450.35"
"Gallantt Ispat","656.30","103.45","18.71%","63,20,316.00","27.13","13,339.20","17.62%","4,308.30","0.19","582.84","627.70","549.80","552.85"
"BLS International Services","315.45","1.50","0.48%","7,53,808.00","21.58","12,926.60","-0.65%","2,273.80","6.82","315.12","339.80","313.90","313.95"
"Supreme Petrochem","662.05","2.80","0.42%","56,442.00","40.33","12,396.60","-8.05%","6,096.50","3.70","756.45","787.64","664.30","659.25"
"Cyient","1,143.20","30.50","2.74%","2,69,774.00","20.09","12,360.70","-1.49%","7,457.00","17.56","1,169.35","1,183.25","1,112.70","1,112.70"
"Zen Technologies","1,361.30","2.50","0.18%","2,01,336.00","45.22","12,268.70","-3.68%","1,032.00","5.95","1,375.98","1,445.38","1,358.80","1,358.80"
"Finolex Cables","793.55","27.00","3.52%","4,80,266.00","18.96","11,723.60","-0.40%","5,516.30","9.90","788.79","815.07","772.40","766.55"
"Home First Finance Company","1,175.80","43.80","3.87%","2,45,509.00","25.91","11,723.10","-6.29%","1,539.20","39.99","1,211.03","1,234.23","1,131.00","1,132.00"
"Titagarh Rail Systems","847.70","4.40","0.52%","5,43,247.00","47.53","11,357.00","-6.53%","3,943.10","9.56","882.51","888.42","846.70","843.30"
"GR Infraprojects","1,151.10","7.50","0.66%","13,084.00","10.02","11,065.50","-1.74%","7,590.10","2.86","1,192.87","1,241.91","1,143.60","1,143.60"
"INOX India","1,177.80","2.50","0.21%","50,837.00","43.43","10,667.40","-1.52%","1,346.70","7.12","1,195.88","1,191.01","1,169.50","1,175.30"
"Jubilant Ingrevia","663.70","8.90","1.36%","3,15,370.00","36.24","10,429.70","-4.03%","4,215.40","5.96","685.58","689.14","663.90","654.80"
"Eureka Forbes","556.40","21.35","3.99%","3,66,864.00","60.50","10,348.10","1.95%","2,451.50","13.72","551.01","564.19","537.10","535.05"
"Sonata Software","376.15","8.35","2.27%","7,28,662.00","24.09","10,314.00","1.20%","10,228.40","8.85","369.44","368.17","367.75","367.80"
"Clean Science & Technology","940.30","2.70","0.29%","3,95,731.00","37.54","9,964.20","-7.35%","1,005.20","11.14","1,028.43","1,094.65","937.00","937.60"
"Sandur Manganese & Iron Ores","208.95","4.21","2.06%","35,35,240.00","20.20","9,952.50","-7.37%","3,215.60","1.00","215.36","184.40","211.00","204.74"
"Astra Microwave Products","1,047.20","4.70","0.45%","1,45,551.00","60.85","9,898.00","-2.74%","1,068.70","6.47","1,067.99","1,067.53","1,039.90","1,042.50"
"Aether Industries","738.45","2.30","0.31%","60,731.00","55.60","9,760.60","-3.03%","880.30","4.64","751.44","746.41","736.00","736.15"
"Ramkrishna Forgings","533.90","2.15","0.40%","2,04,044.00","22.81","9,626.30","-1.65%","4,060.50","22.71","544.05","555.24","531.75","531.75"
"Time Technoplast","211.49","1.85","0.88%","19,95,291.00","23.21","9,514.70","-0.49%","5,462.30","8.42","215.07","223.96","210.69","209.64"
"Black Box","547.95","4.90","0.90%","3,45,524.00","42.80","9,231.20","-1.00%","5,971.90","4.22","551.80","514.54","548.25","543.05"
"ASK Automotive","469.75","10.45","2.28%","3,94,060.00","33.60","9,054.80","-2.27%","3,612.70","10.35","485.44","507.83","465.50","459.30"
"Latent View Analytics","455.50","18.95","4.34%","16,69,232.00","47.44","9,019.20","-4.09%","916.80","2.17","437.77","425.99","436.55","436.55"
"Balrampur Chini Mills","461.20","28.65","6.62%","18,35,717.00","20.89","8,735.10","-0.12%","5,504.20","11.21","463.10","489.04","441.95","432.55"
"Campus Activewear","280.30","3.50","1.26%","2,77,753.00","65.35","8,455.50","0.07%","1,196.60","5.99","280.87","275.64","278.70","276.80"
"Saregama India","418.95","9.85","2.41%","8,08,180.00","39.02","7,887.80","-8.16%","1,229.40","16.82","450.23","469.81","414.50","409.10"
"Kalpataru","371.15","1.45","0.39%","15,092.00","-286.63","7,612.60","-3.46%","2,331.60","7.68","380.86","385.21","371.10","369.70"
"Yatharth Hospital","797.35","13.65","1.74%","2,39,173.00","53.12","7,551.30","-2.06%","896.70","6.50","805.55","783.96","786.10","783.70"
"Happiest Minds Technologies","503.60","9.00","1.82%","2,36,740.00","38.58","7,531.50","-1.66%","2,162.20","5.39","505.51","533.84","494.70","494.60"
"Maharashtra Seamless","550.45","1.90","0.35%","2,38,610.00","9.39","7,350.50","-5.21%","5,465.90","9.86","572.05","601.58","548.20","548.55"
"MOIL","367.10","8.95","2.50%","5,93,324.00","25.97","7,287.80","-0.89%","1,219.10","6.05","371.44","363.57","358.15","358.15"
"Dodla Dairy","1,208.20","9.00","0.75%","55,132.00","27.80","7,234.50","-3.61%","3,773.40","8.91","1,282.10","1,346.11","1,195.00","1,199.20"
"Gujarat Narmada Valley Fert & Chem","492.30","1.65","0.34%","1,01,449.00","12.81","7,209.60","-2.77%","8,393.40","12.67","499.33","503.72","490.95","490.65"
"Aditya Vision","553.75","3.85","0.70%","2,83,869.00","65.71","7,075.20","-7.04%","2,267.60","18.76","557.41","541.65","541.00","549.90"
"Mishra Dhatu Nigam","377.85","3.00","0.80%","1,89,388.00","59.23","7,022.40","-3.65%","1,105.00","1.37","381.13","385.83","375.00","374.85"
"Avalon Technologies","1,050.50","10.70","1.03%","1,89,751.00","79.15","6,936.90","-11.70%","1,115.20","10.04","1,156.76","1,053.48","1,049.00","1,039.80"
"Ganesh Housing","829.85","17.35","2.14%","37,953.00","12.85","6,775.20","-1.04%","993.50","0.43","835.16","849.32","798.50","812.50"
"Aurionpro Solutions","1,138.00","11.00","0.98%","78,334.00","30.42","6,228.10","-6.52%","1,193.10","15.55","1,173.53","1,198.66","1,128.00","1,128.00"
"Ashapura Minechem","642.80","6.35","1.00%","2,79,989.00","17.74","6,079.80","-4.79%","2,813.80","18.01","656.23","630.15","629.75","636.45"
"Axiscades Engineering Technologies","1,407.50","6.90","0.49%","71,662.00","74.99","5,952.20","-10.53%","1,051.60","2.18","1,519.37","1,549.40","1,400.00","1,400.60"
"Juniper Hotels","265.25","5.45","2.10%","9,45,839.00","84.14","5,780.60","-3.93%","975.70","7.29","269.18","281.97","263.95","259.80"
"CMS Info Systems","355.20","4.25","1.21%","4,70,222.00","16.13","5,772.20","-4.85%","2,475.20","33.15","369.37","388.55","350.95","350.95"
"Bajaj Electricals","500.65","2.45","0.49%","54,218.00","55.77","5,747.70","-0.63%","4,883.20","7.75","527.41","552.36","500.00","498.20"
"Paras Defence Space Tech","689.80","13.20","1.95%","5,49,057.00","88.44","5,452.50","-1.44%","372.60","5.69","704.40","697.69","676.90","676.60"
"Shoppers Stop","475.10","2.45","0.52%","48,666.00","282.96","5,204.40","-5.78%","4,681.80","2.93","512.11","527.86","468.40","472.65"
"Unimech Aerospace and Manufacturing","998.10","10.10","1.02%","48,073.00","61.36","5,024.70","-1.41%","267.70","0.21","989.63","1,019.25","988.90","988.00"
"R Systems International","417.50","7.15","1.74%","69,322.00","25.72","4,858.10","-1.86%","1,403.10","3.60","417.27","429.54","406.60","410.35"
"Indigo Paints","1,155.35","151.25","15.06%","45,81,620.00","33.14","4,787.10","15.08%","1,359.20","11.80","1,026.80","1,074.48","1,010.00","1,004.10"
"Entero Healthcare Solutions","1,143.00","53.70","4.93%","2,92,757.00","40.57","4,739.40","3.51%","5,135.30","14.67","1,104.26","1,126.93","1,100.00","1,089.30"
"SIS","334.75","2.15","0.65%","49,869.00","89.57","4,688.40","0.50%","13,257.10","13.18","336.87","344.03","331.30","332.60"
"DB Corp","259.80","1.75","0.68%","89,100.00","13.36","4,599.50","-1.29%","2,421.20","12.62","258.61","266.34","254.60","258.05"
"Heritage Foods","481.70","5.05","1.06%","1,84,290.00","25.58","4,423.10","-0.73%","4,162.50","4.60","485.35","488.64","476.95","476.65"
"Ceigall India","251.05","2.25","0.90%","62,071.00","16.68","4,334.20","0.50%","3,493.00","2.48","253.13","261.06","249.75","248.80"
"Indiqube Spaces","218.80","14.94","7.33%","5,72,121.00","-30.61","4,281.30","2.12%","1,102.90","2.67","220.08","225.74","202.84","203.86"
"Ramky Infrastructure","629.50","23.25","3.84%","1,42,759.00","19.34","4,195.10","0.34%","2,210.40","1.30","633.86","602.63","605.05","606.25"
"Borosil","344.00","4.80","1.42%","1,53,597.00","46.61","4,056.10","-3.06%","1,134.80","0.44","343.18","345.94","335.00","339.20"
"Pondy Oxides & Chemical","1,339.30","41.80","3.22%","4,23,241.00","44.82","3,903.80","-1.27%","2,059.20","1.75","1,364.95","1,277.43","1,300.00","1,297.50"
"Shanthi Gears","484.50","6.85","1.43%","23,991.00","39.53","3,664.30","1.08%","619.30","3.22","504.03","531.45","482.20","477.65"
"Trualt Bioenergy","479.00","55.80","13.19%","39,01,906.00","24.67","3,629.00","10.01%","1,968.50","1.30","461.50","-","427.30","423.20"
"Greenply Industries","293.20","3.90","1.35%","75,920.00","42.30","3,612.80","-4.17%","2,504.10","4.49","300.12","303.94","290.85","289.30"
"Rossari Biotech","640.20","12.60","2.01%","33,917.00","25.46","3,474.80","-0.73%","2,084.30","2.69","650.22","641.75","630.90","627.60"
"Steel Strips Wheels","221.54","2.74","1.25%","1,17,908.00","17.08","3,439.10","-3.72%","4,432.20","8.73","221.45","228.31","220.30","218.80"
"Unichem Laboratories","462.10","2.00","0.43%","8,599.00","25.95","3,239.40","-2.75%","2,146.30","1.00","470.03","484.57","460.00","460.10"
"Kewal Kiran Clothing","519.50","7.25","1.42%","39,056.00","23.22","3,156.80","0.38%","1,052.10","2.38","530.06","537.09","508.10","512.25"
"Bhagiradha Chemicals & Industries","246.03","2.82","1.16%","27,013.00","259.47","3,153.70","-0.75%","449.80","0.05","247.78","255.54","245.43","243.21"
"Maithan Alloys","1,103.80","25.10","2.33%","76,452.00","4.42","3,140.30","-0.87%","2,526.50","1.41","1,096.15","1,110.87","1,078.00","1,078.70"
"Vimta Labs","659.10","1.30","0.20%","3,69,922.00","47.60","2,929.90","-3.46%","322.30","4.33","681.54","727.57","659.95","657.80"
"Polyplex Corporation","935.70","11.45","1.24%","30,835.00","14.50","2,901.40","-0.91%","6,980.60","9.31","967.59","1,008.37","926.90","924.25"
"Jash Engineering","480.70","22.20","4.84%","2,13,405.00","35.28","2,877.30","1.57%","745.60","2.06","482.88","495.66","460.80","458.50"
"EFC","302.75","19.20","6.77%","5,76,985.00","16.44","2,822.80","3.15%","674.30","3.84","297.00","308.07","297.00","283.55"
"Prabha Energy","207.17","2.39","1.17%","20,599.00","-1,872.73","2,803.60","-5.60%","4.40","0.45","211.50","223.21","204.25","204.78"
"HPL Electric & Power","457.05","35.95","8.54%","8,79,356.00","28.44","2,707.70","3.73%","1,705.10","0.34","440.74","458.34","432.85","421.10"
"Venus Pipes & Tubes","1,279.10","2.20","0.17%","91,026.00","29.34","2,616.60","0.69%","969.20","4.25","1,293.79","1,313.43","1,288.00","1,276.90"
"Solarworld Energy Solutions","304.00","3.20","1.06%","2,69,589.00","33.91","2,607.10","-2.27%","551.10","3.40","315.45","-","303.90","300.80"
"Dalmia Bharat Sugar & Industries","323.25","4.85","1.52%","26,399.00","9.45","2,577.10","-2.02%","3,028.00","0.97","352.04","362.40","320.00","318.40"
"La Opala RG","229.58","2.91","1.28%","1,04,018.00","25.54","2,516.00","-1.35%","379.60","0.83","231.27","240.44","227.85","226.67"
"Indoco Remedies","265.55","4.60","1.76%","44,422.00","-20.84","2,407.20","-3.38%","1,670.40","1.25","280.11","285.38","261.60","260.95"
"Krsnaa Diagnostics","779.45","55.15","7.61%","25,12,397.00","29.22","2,349.50","-1.35%","742.70","3.67","793.89","808.11","763.95","724.30"
"Hinduja Global Solutions","509.95","5.10","1.01%","7,658.00","-47.50","2,348.60","-0.66%","4,958.80","11.83","506.81","511.79","505.35","504.85"
"DCX Systems","210.83","4.12","1.99%","6,27,921.00","57.62","2,302.50","-6.47%","1,163.70","1.48","226.30","247.77","207.70","206.71"
"EIH Associated Hotels","374.90","1.75","0.47%","12,393.00","24.11","2,273.80","-1.87%","426.90","13.71","381.57","388.57","373.55","373.15"
"Monarch Networth Capital","306.60","1.45","0.48%","59,030.00","15.62","2,255.30","-0.97%","328.00","1.78","310.49","319.41","305.00","305.15"
"India Nippon Electricals","975.95","29.75","3.14%","24,163.00","24.46","2,140.40","-1.38%","874.90","0.37","988.31","958.23","957.00","946.20"
"Sula Vineyards","251.85","2.30","0.92%","2,33,259.00","36.64","2,107.00","-1.31%","583.10","4.05","251.67","261.38","249.65","249.55"
"Genesys International Corp","480.60","2.35","0.49%","2,71,165.00","34.60","1,995.20","-5.63%","315.40","4.69","517.24","539.12","478.25","478.25"
"Accelya Solutions","1,336.40","5.40","0.41%","7,861.00","15.78","1,986.70","-3.94%","540.40","0.26","1,433.21","1,442.77","1,329.30","1,331.00"
"Sri Adhikari Bros. Tele Network","807.25","27.70","3.55%","1,965.00","-81.16","1,978.00","2.72%","6.40","0.00","821.54","920.26","779.50","779.55"
"Indian Hume Pipe","373.60","22.20","6.32%","76,711.00","3.38","1,968.20","2.43%","1,500.20","0.42","355.03","368.29","353.30","351.40"
"NELCO","864.65","10.15","1.19%","1,06,885.00","454.63","1,949.80","-0.62%","310.00","4.56","864.48","856.15","858.95","854.50"
"Antelopus Selan Energy","564.20","28.00","5.22%","83,207.00","28.50","1,885.40","-1.95%","272.90","1.70","540.34","549.09","539.00","536.20"
"Somany Ceramics","446.50","5.65","1.28%","41,807.00","34.22","1,808.00","-2.50%","2,667.80","0.98","450.88","461.65","438.50","440.85"
"Huhtamaki PPL","240.94","4.91","2.08%","1,62,266.00","17.91","1,782.50","-2.29%","2,051.60","0.90","249.63","239.39","236.71","236.03"
"Dynamic Cables","380.10","14.30","3.91%","2,59,947.00","22.99","1,772.60","-5.38%","1,031.90","0.56","403.48","412.61","369.50","365.80"
"NIBE","1,227.70","30.30","2.53%","33,232.00","84.45","1,736.40","3.00%","512.20","4.78","1,261.23","1,284.92","1,209.90","1,197.40"
"BF Investment","469.35","10.70","2.33%","48,450.00","22.13","1,727.60","-0.29%","62.70","0.66","477.75","471.02","458.65","458.65"
"Nitin Spinners","324.65","19.30","6.32%","1,60,104.00","10.29","1,716.70","-1.74%","3,309.20","0.90","325.54","331.44","305.60","305.35"
"Laxmi Dental","341.55","29.75","9.54%","8,31,154.00","73.62","1,713.70","5.03%","242.40","32.39","316.59","324.76","316.00","311.80"
"SP Apparels","690.40","17.05","2.53%","99,147.00","17.27","1,689.60","-2.68%","1,407.30","1.48","709.23","721.97","675.00","673.35"
"Vidhi Specialty Food Ingredients","341.30","15.70","4.82%","13,615.00","34.00","1,626.20","1.64%","383.90","0.12","346.19","360.88","323.10","325.60"
"Panama Petrochem","275.30","8.15","3.05%","52,217.00","9.01","1,616.10","1.42%","2,805.20","12.03","272.40","284.98","267.60","267.15"
"Jindal Drilling & Industries","552.15","1.75","0.32%","1,09,935.00","4.74","1,595.10","-6.14%","884.30","2.04","568.03","589.27","551.95","550.40"
"D-Link","444.80","2.80","0.63%","63,996.00","15.14","1,569.30","-1.70%","1,404.20","1.11","457.48","474.01","440.00","442.00"
"Punjab Chemicals & Crop Protection","1,285.00","11.40","0.90%","13,879.00","29.83","1,561.70","-4.23%","902.00","3.02","1,364.29","1,284.92","1,284.50","1,273.60"
"Vinyas Innovative Technologies","1,208.65","34.25","2.92%","6,700.00","76.11","1,478.00","4.84%","400.20","0.00","1,182.55","1,212.78","1,175.85","1,174.40"
"Jindal Photo","1,397.60","31.30","2.29%","9,855.00","6.06","1,401.60","-1.17%","2.50","0.00","1,402.97","1,239.14","1,390.00","1,366.30"
"Alldigi Tech","892.50","17.05","1.95%","6,391.00","18.65","1,334.00","0.00%","557.10","1.88","887.51","915.43","866.05","875.45"
"Heubach Colorants","501.25","5.65","1.14%","3,327.00","18.69","1,321.30","-2.91%","843.80","1.28","515.28","553.44","491.60","495.60"
"Laxmi Goldrona House","272.70","12.95","4.99%","75,696.00","111.96","1,301.20","5.43%","88.00","0.00","294.96","336.48","272.00","259.75"
"Godavari Biorefineries","267.95","15.90","6.31%","5,43,664.00","-96.81","1,289.90","-0.45%","1,886.90","0.60","261.54","268.37","250.00","252.05"
"Gandhi Special Tubes","830.00","2.35","0.28%","11,308.00","15.27","1,220.00","-4.54%","184.40","1.23","883.49","912.74","825.00","827.65"
"Indef Manufacturing","373.90","2.30","0.62%","14,054.00","34.78","1,189.10","-1.59%","195.60","1.56","393.38","380.97","379.90","371.60"
"Faze Three","485.10","6.70","1.40%","20,422.00","25.13","1,163.40","1.38%","701.70","0.01","487.54","484.53","478.40","478.40"
"SWELECT Energy Systems","775.80","10.00","1.31%","21,531.00","40.48","1,160.90","-3.25%","668.60","0.04","831.82","837.58","755.00","765.80"
"Krishna Defence & Allied Industries","795.95","26.40","3.43%","28,250.00","51.82","1,148.10","0.12%","197.70","0.00","794.42","795.77","776.00","769.55"
"Wealth First Portfolio Managers","1,190.10","125.80","11.82%","13,063.00","32.48","1,134.00","5.35%","60.10","0.00","1,166.21","1,190.71","1,094.00","1,064.30"
"Ganesh Consumer Products","288.60","11.75","4.24%","3,84,678.00","33.82","1,118.80","2.23%","855.20","8.17","283.94","-","276.40","276.85"
"Dynacons Systems & Solutions","883.25","8.30","0.95%","28,570.00","14.94","1,113.40","-3.38%","1,273.90","0.28","920.82","943.44","874.45","874.95"
"Indo Farm Equipment","238.93","9.26","4.03%","5,15,612.00","41.60","1,103.60","2.79%","389.80","0.40","238.20","242.03","232.90","229.67"
"Sterling Tools","290.75","4.40","1.54%","55,597.00","21.22","1,036.10","-5.17%","1,038.00","0.19","310.62","318.76","287.55","286.35"
"Elin Electronics","205.53","9.43","4.81%","12,48,665.00","29.73","973.80","-1.25%","1,198.60","0.78","204.00","207.64","196.50","196.10"
"Sree Rayalaseema Hi-Strength Hypo","539.05","10.15","1.92%","8,591.00","9.95","907.80","-2.40%","677.30","0.06","554.49","579.99","528.00","528.90"
"Uttam Sugar Mills","242.94","7.28","3.09%","47,134.00","9.52","898.80","-0.96%","1,854.10","0.07","249.93","257.07","241.90","235.66"
"Shree Vasu Logistics","782.65","31.55","4.20%","1,324.00","260.80","863.30","0.97%","147.40","0.00","776.90","776.14","751.00","751.10"
"BEML Land Assets","207.89","3.55","1.74%","40,631.00","-207.12","851.00","-0.18%","0.00","0.07","208.56","214.65","204.34","204.34"
