"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","SMA (20)","SMA (50)","Open Price","Previous Close Price"
"HDFC Bank","984.50","2.20","0.22%","1,59,88,262.00","20.13","15,08,847.00","-0.82%","4,70,915.90","48.39","992.68","974.49","982.30","982.30"
"ICICI Bank","1,348.00","5.00","0.37%","85,42,340.00","16.84","9,59,328.50","0.12%","2,94,586.90","45.56","1,371.17","1,383.55","1,342.90","1,343.00"
"ITC","405.55","1.50","0.37%","66,50,003.00","14.32","5,06,139.80","-2.03%","77,853.00","37.39","410.70","408.48","404.05","404.05"
"Wipro","239.84","3.35","1.42%","85,66,758.00","18.29","2,47,928.70","-0.27%","92,911.80","10.81","243.15","245.76","237.44","236.49"
"Coal India","381.35","5.35","1.42%","44,51,727.00","7.46","2,31,718.60","-1.85%","1,52,839.00","7.96","385.96","387.56","376.10","376.00"
"Hindustan Zinc","484.60","10.10","2.13%","40,39,654.00","18.98","2,00,491.40","0.82%","35,066.00","1.31","487.01","469.52","477.00","474.50"
"Jio Financial Services","301.95","2.65","0.89%","88,70,055.00","116.44","1,90,149.50","-1.58%","2,078.90","11.84","307.08","308.03","299.65","299.30"
"Pidilite Industries","1,456.60","1.80","0.12%","2,83,000.00","65.93","1,48,057.00","-0.27%","13,387.50","0.00","1,493.45","1,509.00","1,460.00","1,454.80"
"Tech Mahindra","1,397.80","11.10","0.80%","28,83,323.00","30.46","1,35,835.90","-1.55%","53,843.70","20.60","1,440.22","1,464.66","1,386.70","1,386.70"
"Tata Power","395.85","2.65","0.67%","29,06,630.00","25.92","1,25,640.80","-3.12%","66,992.20","10.19","398.68","392.30","393.20","393.20"
"CG Power & Industrial Solutions","738.15","4.90","0.67%","15,38,280.00","108.58","1,15,463.50","-0.97%","10,070.80","13.02","741.29","748.05","733.20","733.25"
"Godrej Consumer Products","1,126.70","4.90","0.44%","10,46,353.00","63.02","1,14,768.50","-4.40%","14,680.40","18.24","1,127.66","1,179.19","1,120.20","1,121.80"
