Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","Gallantt Metal Limited","GALLANTT","P&F | F.A","18.71","656.30","6320316"
"2","Lumax Auto Technologies Limited","LUMAXTECH","P&F | F.A","15.51","1386.30","2617712"
"3","Indigo Paints Ltd","INDIGOPNTS","P&F | F.A","15.06","1155.35","4581620"
"4","HBL Engineering Ltd","HBLENGINE","P&F | F.A","12.21","1098.80","27033472"
"5","Dreamfolks Services Ltd","DREAMFOLKS","P&F | F.A","10.29","134.68","2509709"
"6","National Aluminium Company Limited","NATIONALUM","P&F | F.A","9.64","257.36","72663239"
"7","Krsnaa Diagnostics Ltd","KRSNAA","P&F | F.A","7.61","779.45","2512397"
"8","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","6.63","3817.50","1651416"
"9","Jb Chemicals & Pharmaceuticals Limited","JBCHEPHARM","P&F | F.A","6.48","1813.30","1349182"
"10","FSN E-Commerce Ventures Ltd","NYKAA","P&F | F.A","6.08","260.82","35673331"
"11","Tribhovandas Bhimji Zaveri Limited","TBZ","P&F | F.A","5.05","195.67","2164483"
"12","Elin Electronics Ltd","ELIN","P&F | F.A","4.81","205.53","1248665"
"13","Garden Reach Shipbuilders & Engineers Ltd","GRSE","P&F | F.A","4.21","2682.50","3632699"
"14","Sirca Paints India Ltd","SIRCA","P&F | F.A","3.22","526.65","1842863"
"15","Axis Silver ETF","AXISILVER","P&F | F.A","2.10","150.71","1928416"
"16","Usha Martin Limited","USHAMART","P&F | F.A","1.87","481.30","2728272"
"17","Motilal Oswal Gold ETF","MOGOLD","P&F | F.A","1.59","121.60","3212489"
"18","Sms Pharmaceuticals Limited","SMSPHARMA","P&F | F.A","1.26","292.90","8625048"
"19","Anthem Biosciences Ltd","ANTHEM","P&F | F.A","1.21","704.95","1595386"
