"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Hindustan Copper","337.95","5.15","1.55%","72,21,580.00","66.21","32,182.60","333.44","5.06"
"Signpost India","247.37","4.98","2.05%","81,179.00","33.89","1,295.60","237.37","0.05"
"Huhtamaki PPL","240.94","4.91","2.08%","1,62,266.00","17.91","1,782.50","241.81","0.90"
"Borosil","344.00","4.80","1.42%","1,53,597.00","46.61","4,056.10","345.45","0.44"
"Senco Gold","336.60","4.50","1.36%","5,38,938.00","25.57","5,437.10","332.00","8.81"
"NLC India","262.65","4.40","1.70%","7,81,857.00","13.10","35,809.90","260.50","3.24"
"Sterling Tools","290.75","4.40","1.54%","55,597.00","21.22","1,036.10","296.51","0.19"
"CMS Info Systems","355.20","4.25","1.21%","4,70,222.00","16.13","5,772.20","359.41","33.15"
"Triveni Engineering & Industries","364.75","4.25","1.18%","3,48,455.00","31.15","7,891.30","359.81","5.71"
"Sandur Manganese & Iron Ores","208.95","4.21","2.06%","35,35,240.00","20.20","9,952.50","211.73","1.00"
"DCX Systems","210.83","4.12","1.99%","6,27,921.00","57.62","2,302.50","215.32","1.48"
"Greenply Industries","293.20","3.90","1.35%","75,920.00","42.30","3,612.80","295.74","4.49"
"Aegis Vopak Terminals","264.05","3.90","1.50%","4,34,040.00","159.85","28,824.40","266.76","6.07"
"SMS Pharmaceuticals","292.90","3.65","1.26%","86,25,048.00","36.98","2,564.30","285.87","0.28"
"Campus Activewear","280.30","3.50","1.26%","2,77,753.00","65.35","8,455.50","276.90","5.99"
"GNG Electronics","340.95","3.40","1.01%","6,21,921.00","45.14","3,848.50","340.96","3.42"
"Suraksha Diagnostic","323.05","3.40","1.06%","51,467.00","51.19","1,664.80","321.66","13.72"
"Wipro","239.84","3.35","1.42%","85,66,758.00","18.29","2,47,928.70","238.96","10.81"
"Surya Roshni","304.40","3.35","1.11%","6,07,317.00","22.78","6,551.90","301.80","4.95"
"Solarworld Energy Solutions","304.00","3.20","1.06%","2,69,589.00","33.91","2,607.10","305.33","3.40"
"Crompton Greaves","280.30","3.15","1.14%","56,52,838.00","36.92","17,845.70","280.67","25.56"
"Apcotex Industries","397.15","3.10","0.79%","63,969.00","28.19","2,043.00","377.98","0.59"
"HUDCO","233.79","3.10","1.34%","42,76,399.00","16.59","46,802.40","232.47","1.94"
"Arvind","331.35","3.05","0.93%","6,56,334.00","20.37","8,605.20","321.23","16.82"
"ITI","317.55","3.00","0.95%","4,35,176.00","-161.33","30,224.70","319.67","0.00"
"Mishra Dhatu Nigam","377.85","3.00","0.80%","1,89,388.00","59.23","7,022.40","379.50","1.37"
"La Opala RG","229.58","2.91","1.28%","1,04,018.00","25.54","2,516.00","230.03","0.83"
"Refex Industries","359.30","2.75","0.77%","2,57,994.00","31.55","4,609.50","366.53","1.60"
"Steel Strips Wheels","221.54","2.74","1.25%","1,17,908.00","17.08","3,439.10","223.51","8.73"
"Jio Financial Services","301.95","2.65","0.89%","88,70,055.00","116.44","1,90,149.50","301.61","11.84"
"Tata Power","395.85","2.65","0.67%","29,06,630.00","25.92","1,25,640.80","398.00","10.19"
"Precision Wires India","227.85","2.45","1.09%","3,37,164.00","42.79","4,058.10","226.94","0.75"
"Sula Vineyards","251.85","2.30","0.92%","2,33,259.00","36.64","2,107.00","251.95","4.05"
"Ceigall India","251.05","2.25","0.90%","62,071.00","16.68","4,334.20","249.21","2.48"
"EPack Prefab Technologies","330.05","2.10","0.64%","1,94,27,277.00","42.83","3,294.30","316.28","3.00"
"Gujarat State Petronet","301.60","2.10","0.70%","2,35,839.00","10.71","16,898.10","304.72","15.47"
"Tata Capital","324.75","1.90","0.59%","38,51,564.00","32.56","1,37,045.60","326.43","3.31"
"Time Technoplast","211.49","1.85","0.88%","19,95,291.00","23.21","9,514.70","210.77","8.42"
"Hubtown","324.20","1.85","0.57%","11,41,949.00","36.38","4,452.80","316.78","2.05"
"Exide Industries","379.10","1.75","0.46%","11,53,922.00","37.53","32,074.80","379.86","10.88"
"Biocon","382.15","1.75","0.46%","16,42,994.00","77.42","50,858.10","381.08","6.61"
"DB Corp","259.80","1.75","0.68%","89,100.00","13.36","4,599.50","261.70","12.62"
"Responsive Industries","200.85","1.71","0.86%","53,227.00","26.51","5,309.20","200.21","30.61"
"KCP","201.79","1.65","0.82%","2,15,291.00","8.88","2,580.20","200.41","3.08"
"BLS International Services","315.45","1.50","0.48%","7,53,808.00","21.58","12,926.60","317.65","6.82"
"Ashoka Buildcon","200.41","1.49","0.75%","10,20,562.00","3.10","5,584.10","203.48","7.45"
"Monarch Networth Capital","306.60","1.45","0.48%","59,030.00","15.62","2,255.30","307.69","1.78"
"Federal Bank","238.46","1.20","0.51%","75,13,078.00","14.43","58,372.10","237.46","25.54"
"PCBL Chemical","348.90","1.15","0.33%","4,84,378.00","39.17","13,126.30","353.07","6.07"
"Sterling & Wilson Renewable Energy","230.97","1.10","0.48%","30,31,141.00","-14.62","5,367.30","233.17","7.10"
"Fabtech Technologies","244.91","1.03","0.42%","24,77,790.00","23.33","1,084.10","239.05","1.91"
