"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","SMA (5)","FII Holding"
"Laxmi Dental","341.55","29.75","9.54%","8,31,154.00","73.62","1,713.70","321.36","32.39"
"NALCO","257.36","22.63","9.64%","7,26,63,239.00","7.04","43,111.30","238.92","16.22"
"Indian Hume Pipe","373.60","22.20","6.32%","76,711.00","3.38","1,968.20","360.82","0.42"
"Nitin Spinners","324.65","19.30","6.32%","1,60,104.00","10.29","1,716.70","318.03","0.90"
"EFC","302.75","19.20","6.77%","5,76,985.00","16.44","2,822.80","288.87","3.84"
"Godavari Biorefineries","267.95","15.90","6.31%","5,43,664.00","-96.81","1,289.90","263.21","0.60"
"Nykaa","260.82","14.95","6.08%","3,56,73,331.00","683.19","70,330.60","250.75","12.54"
"Indiqube Spaces","218.80","14.94","7.33%","5,72,121.00","-30.61","4,281.30","211.04","2.67"
"Dynamic Cables","380.10","14.30","3.91%","2,59,947.00","22.99","1,772.60","384.24","0.56"
"Shilpa Medicare","382.70","14.15","3.84%","5,16,277.00","64.68","7,208.20","368.93","10.92"
"Laxmi Goldrona House","272.70","12.95","4.99%","75,696.00","111.96","1,301.20","259.54","0.00"
"Zuari Agro Chemicals","263.70","12.55","5.00%","1,17,064.00","0.98","1,056.30","250.47","2.85"
"Prime Securities","313.55","11.85","3.93%","1,55,060.00","30.53","1,015.10","303.70","4.47"
"NIIT Learning Systems","340.10","11.80","3.59%","3,68,858.00","21.78","4,500.00","326.01","17.43"
"Ganesh Consumer Products","288.60","11.75","4.24%","3,84,678.00","33.82","1,118.80","277.01","8.17"
"Firstsource Solutions","350.85","10.40","3.05%","8,10,866.00","35.98","23,729.10","349.90","9.25"
"SG Finserv","400.00","10.15","2.60%","3,10,117.00","21.70","2,179.10","385.79","0.18"
"Bharat Heavy Electricals","273.35","9.50","3.60%","1,81,51,146.00","164.81","91,874.20","265.89","6.23"
"Sequent Scientific","224.15","9.36","4.36%","15,55,566.00","132.22","5,405.20","218.46","5.91"
"Indo Farm Equipment","238.93","9.26","4.03%","5,15,612.00","41.60","1,103.60","230.43","0.40"
"Windsor Machines","299.15","9.25","3.19%","1,67,469.00","-260.27","2,449.00","293.78","1.06"
"MOIL","367.10","8.95","2.50%","5,93,324.00","25.97","7,287.80","363.41","6.05"
"Sonata Software","376.15","8.35","2.27%","7,28,662.00","24.09","10,314.00","371.15","8.85"
"Panama Petrochem","275.30","8.15","3.05%","52,217.00","9.01","1,616.10","271.06","12.03"
"Manappuram Finance","277.95","7.30","2.70%","60,26,935.00","53.90","22,908.80","271.38","30.16"
"Flair Writing Industries","319.90","6.55","2.09%","5,32,521.00","25.17","3,302.60","317.51","0.44"
"Juniper Hotels","265.25","5.45","2.10%","9,45,839.00","84.14","5,780.60","266.19","7.29"
"Coal India","381.35","5.35","1.42%","44,51,727.00","7.46","2,31,718.60","379.32","7.96"
