Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","Latent View Analytics Ltd","LATENTVIEW","P&F | F.A","4.34","455.50","1669232"
"2","Greenply Industries Limited","GREENPLY","P&F | F.A","1.35","293.20","75920"
"3","Housing and Urban Development Corporation","HUDCO","P&F | F.A","1.34","233.79","4276399"
"4","Campus Activewear Ltd","CAMPUS","P&F | F.A","1.26","280.30","277753"
