"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Resistance 2 (Standard)"
"Wipro","239.84","3.35","1.42%","85,66,758.00","18.29","2,47,928.70","240.50"
"Jio Financial Services","301.95","2.65","0.89%","88,70,055.00","116.44","1,90,149.50","304.30"
"NLC India","262.65","4.40","1.70%","7,81,857.00","13.10","35,809.90","263.02"
"Firstsource Solutions","350.85","10.40","3.05%","8,10,866.00","35.98","23,729.10","355.28"
"Sonata Software","376.15","8.35","2.27%","7,28,662.00","24.09","10,314.00","376.60"
"Ceigall India","251.05","2.25","0.90%","62,071.00","16.68","4,334.20","252.20"
"Greenply Industries","293.20","3.90","1.35%","75,920.00","42.30","3,612.80","296.67"
"Steel Strips Wheels","221.54","2.74","1.25%","1,17,908.00","17.08","3,439.10","223.46"
"Bhagiradha Chemicals & Industries","246.03","2.82","1.16%","27,013.00","259.47","3,153.70","247.02"
"La Opala RG","229.58","2.91","1.28%","1,04,018.00","25.54","2,516.00","231.72"
"Windsor Machines","299.15","9.25","3.19%","1,67,469.00","-260.27","2,449.00","302.90"
"DCX Systems","210.83","4.12","1.99%","6,27,921.00","57.62","2,302.50","213.16"
"SG Finserv","400.00","10.15","2.60%","3,10,117.00","21.70","2,179.10","407.62"
"Sula Vineyards","251.85","2.30","0.92%","2,33,259.00","36.64","2,107.00","252.52"
"Huhtamaki PPL","240.94","4.91","2.08%","1,62,266.00","17.91","1,782.50","242.68"
"Dynamic Cables","380.10","14.30","3.91%","2,59,947.00","22.99","1,772.60","386.73"
"Laxmi Goldrona House","272.70","12.95","4.99%","75,696.00","111.96","1,301.20","276.45"
"Ganesh Consumer Products","288.60","11.75","4.24%","3,84,678.00","33.82","1,118.80","299.95"
"Indo Farm Equipment","238.93","9.26","4.03%","5,15,612.00","41.60","1,103.60","239.36"
"Elin Electronics","205.53","9.43","4.81%","12,48,665.00","29.73","973.80","210.53"
"Uttam Sugar Mills","242.94","7.28","3.09%","47,134.00","9.52","898.80","246.95"
"BEML Land Assets","207.89","3.55","1.74%","40,631.00","-207.12","851.00","208.85"
"Aprameya Engineering","281.10","7.10","2.59%","49,500.00","32.39","521.70","286.67"
"Euro Panel Products","212.95","5.34","2.57%","27,198.00","24.04","508.60","217.23"
"TechEra Engineering","269.10","9.10","3.50%","1,91,200.00","128.08","429.50","271.67"
"Systango Technologies","297.50","24.65","9.03%","3,71,200.00","16.86","400.20","302.95"
"Manomay Tex","225.83","4.65","2.10%","91,172.00","21.47","399.20","226.16"
"Infollion Research Services","386.55","5.15","1.35%","16,400.00","29.73","369.80","387.13"
"Delphi World Money","201.02","3.61","1.83%","82,959.00","188.67","322.80","204.13"
"Akiko Global Services","271.00","12.90","5.00%","1,67,200.00","35.16","278.00","273.83"
"Voler Car","216.20","8.60","4.14%","45,600.00","52.96","231.30","222.13"
"BSL","200.29","7.98","4.15%","10,364.00","30.81","197.90","205.84"
"HOAC Foods India","309.20","28.10","10.00%","57,750.00","49.14","122.00","319.03"
