"Name","Price","Day Price Change","Change %","Volume","P/E Ratio","Market Cap (Cr.)","Price %Change (Week)","Revenue (Yearly)","FII Holding","Supertrend (15 Min)","SMA (5)"
"NALCO","257.36","22.63","9.64%","7,26,63,239.00","7.04","43,111.30","7.84%","17,144.60","16.22","253.32","238.92"
"Nykaa","260.82","14.95","6.08%","3,56,73,331.00","683.19","70,330.60","4.29%","7,977.10","12.54","257.63","250.75"
"Bharat Heavy Electricals","273.35","9.50","3.60%","1,81,51,146.00","164.81","91,874.20","3.17%","28,804.80","6.23","268.54","265.89"
"Manappuram Finance","277.95","7.30","2.70%","60,26,935.00","53.90","22,908.80","3.77%","10,040.90","30.16","274.54","271.38"
"Biocon","382.15","1.75","0.46%","16,42,994.00","77.42","50,858.10","1.33%","16,469.90","6.61","379.80","381.08"
